describ,harvest,season,TRMT,type,tpa,tpha,wall_denom,points_occupied,age,PCT_pts_present
type_exp_gt4.5ft,campridge,2020,inside,diversity,258.13845567441325,637.6019855158007,94,25,1,26.595744680851062
type_exp_gt4.5ft,campridge,2020,inside,sb,118.82563832631695,293.49932666600284,94,11,1,11.702127659574469
type_exp_gt4.5ft,campridge,2020,inside,interfering,94.24102350018246,232.7753280454507,94,10,1,10.638297872340425
type_exp_gt4.5ft,campridge,2020,inside,commercial,77.85128028275965,192.29266229841633,94,6,1,6.382978723404255
type_exp_gt4.5ft,campridge,2020,inside,other,24.584614826134572,60.7239986205524,94,1,1,1.0638297872340425
type_exp_gt4.5ft,campridge,2021,inside,diversity,1053.0410017194315,2601.0112742469964,94,46,2,48.93617021276596
type_exp_gt4.5ft,campridge,2021,inside,interfering,721.1487015666146,1781.2372928695384,94,38,2,40.42553191489361
type_exp_gt4.5ft,campridge,2021,inside,sb,467.10768169655717,1153.7559737904962,94,25,2,26.595744680851062
type_exp_gt4.5ft,campridge,2021,inside,commercial,180.28717539165368,445.30932321738464,94,12,2,12.76595744680851
type_exp_gt4.5ft,campridge,2021,inside,other,4.097435804355766,10.120666436758743,94,1,2,1.0638297872340425
type_exp_gt4.5ft,campridge,2022,inside,diversity,1438.1999673288735,3552.3539193023175,94,57,3,60.63829787234043
type_exp_gt4.5ft,campridge,2022,inside,interfering,1405.420480894027,3471.3885878082465,94,53,3,56.38297872340425
type_exp_gt4.5ft,campridge,2022,inside,sb,688.3692151317687,1700.2719613754687,94,38,3,40.42553191489361
type_exp_gt4.5ft,campridge,2022,inside,commercial,274.5281988918361,678.0846512628352,94,20,3,21.27659574468085
type_exp_gt4.5ft,campridge,2022,inside,other,12.29230741306731,30.361999310276254,94,2,3,2.127659574468085
type_exp_gt4.5ft,circle,2020,inside,diversity,657.9798995827939,1625.210351969501,24,5,1,20.833333333333336
type_exp_gt4.5ft,circle,2020,inside,interfering,433.3038363106221,1070.2604756872367,24,8,1,33.33333333333333
type_exp_gt4.5ft,circle,2020,inside,commercial,64.19316093490708,158.55710750922051,24,1,1,4.166666666666666
type_exp_gt4.5ft,circle,2021,inside,interfering,1685.0704745413072,4162.12407211703,24,14,2,58.333333333333336
type_exp_gt4.5ft,circle,2021,inside,diversity,1171.525187062053,2893.667212043271,24,9,2,37.5
type_exp_gt4.5ft,circle,2021,inside,commercial,128.38632186981383,317.1142150184402,24,2,2,8.333333333333332
type_exp_gt4.5ft,circle,2021,inside,other,96.28974140236059,237.83566126383067,24,2,2,8.333333333333332
type_exp_gt4.5ft,circle,2021,inside,sb,80.24145116863383,198.1963843865256,24,3,2,12.5
type_exp_gt4.5ft,circle,2022,inside,interfering,2214.664052254292,5470.220209068102,24,20,3,83.33333333333334
type_exp_gt4.5ft,circle,2022,inside,diversity,1091.2837358934182,2695.4708276567435,24,9,3,37.5
type_exp_gt4.5ft,circle,2022,inside,sb,561.6901581804368,1387.374690705679,24,11,3,45.83333333333333
type_exp_gt4.5ft,circle,2022,inside,other,385.15896560944213,951.342645055322,24,4,3,16.666666666666664
type_exp_gt4.5ft,circle,2022,inside,commercial,256.7726437396279,634.2284300368809,24,8,3,33.33333333333333
type_exp_gt4.5ft,decker,2020,inside,interfering,249.8328425574758,617.0871211169654,37,13,1,35.13513513513514
type_exp_gt4.5ft,decker,2020,inside,commercial,31.229105319684514,77.13589013962076,37,2,1,5.405405405405405
type_exp_gt4.5ft,decker,2020,inside,diversity,10.409701773228162,25.711963379873566,37,1,1,2.7027027027027026
type_exp_gt4.5ft,decker,2020,inside,other,10.409701773228162,25.711963379873566,37,1,1,2.7027027027027026
type_exp_gt4.5ft,decker,2020,inside,sb,10.409701773228162,25.711963379873566,37,1,1,2.7027027027027026
type_exp_gt4.5ft,decker,2021,inside,interfering,405.9783691558982,1002.7665718150686,37,14,2,37.83783783783784
type_exp_gt4.5ft,decker,2021,inside,diversity,187.3746319181071,462.8153408377246,37,5,2,13.513513513513514
type_exp_gt4.5ft,decker,2021,inside,commercial,176.96493014487893,437.103377457851,37,6,2,16.216216216216218
type_exp_gt4.5ft,decker,2021,inside,sb,104.09701773228166,257.1196337987357,37,4,2,10.81081081081081
type_exp_gt4.5ft,decker,2021,inside,other,31.229105319684486,77.1358901396207,37,3,2,8.108108108108109
type_exp_gt4.5ft,decker,2022,outside,interfering,77.03179312188841,190.2685290110644,15,3,3,20
type_exp_gt4.5ft,decker,2022,inside,interfering,645.401509940146,1594.1417295521608,37,17,3,45.94594594594595
type_exp_gt4.5ft,decker,2022,inside,commercial,218.6037372377912,539.9512309773444,37,8,3,21.62162162162162
type_exp_gt4.5ft,decker,2022,inside,sb,208.19403546456317,514.2392675974711,37,8,3,21.62162162162162
type_exp_gt4.5ft,decker,2022,inside,diversity,187.374631918107,462.81534083772436,37,4,3,10.81081081081081
type_exp_gt4.5ft,decker,2022,inside,other,104.09701773228173,257.1196337987359,37,5,3,13.513513513513514
type_exp_gt4.5ft,gas_line,2019,outside,diversity,294.53332664251445,727.4973168070107,17,4,3,23.52941176470588
type_exp_gt4.5ft,gas_line,2019,outside,commercial,181.25127793385522,447.69065649662247,17,2,3,11.76470588235294
type_exp_gt4.5ft,gas_line,2019,outside,interfering,158.59486819212333,391.7293244345447,17,2,3,11.76470588235294
type_exp_gt4.5ft,gas_line,2019,outside,sb,90.62563896692717,223.84532824831015,17,2,3,11.76470588235294
type_exp_gt4.5ft,gas_line,2019,inside,diversity,1380.5697988078696,3410.0074030554383,77,48,3,62.33766233766234
type_exp_gt4.5ft,gas_line,2019,inside,interfering,1075.4438650133766,2656.3463465830405,77,41,3,53.246753246753244
type_exp_gt4.5ft,gas_line,2019,inside,commercial,900.3716079181758,2223.917871557894,77,35,3,45.45454545454545
type_exp_gt4.5ft,gas_line,2019,inside,sb,530.2188357740362,1309.6405243618694,77,16,3,20.77922077922078
type_exp_gt4.5ft,gas_line,2019,inside,other,60.02477386121174,148.26119143719302,77,4,3,5.194805194805195
type_exp_gt4.5ft,gas_line,2020,outside,interfering,453.12819483463767,1119.2266412415552,17,8,4,47.05882352941176
type_exp_gt4.5ft,gas_line,2020,outside,commercial,385.15896560944157,951.3426450553208,17,4,4,23.52941176470588
type_exp_gt4.5ft,gas_line,2020,outside,sb,339.84614612597807,839.4199809311659,17,7,4,41.17647058823529
type_exp_gt4.5ft,gas_line,2020,outside,diversity,317.1897363842464,783.4586488690886,17,5,4,29.411764705882355
type_exp_gt4.5ft,gas_line,2020,inside,diversity,1955.8072149778154,4830.843820995205,77,47,4,61.038961038961034
type_exp_gt4.5ft,gas_line,2020,inside,interfering,1360.561540854132,3360.5870059097065,77,42,4,54.54545454545454
type_exp_gt4.5ft,gas_line,2020,inside,commercial,1195.4934127358001,2952.8687294574265,77,41,4,53.246753246753244
type_exp_gt4.5ft,gas_line,2020,inside,sb,930.3839948487816,2298.048467276491,77,27,4,35.064935064935064
type_exp_gt4.5ft,gas_line,2020,inside,other,35.014451419040206,86.48569500502933,77,4,4,5.194805194805195
type_exp_gt4.5ft,gas_line,2021,outside,sb,996.8820286362029,2462.2986107314214,17,10,5,58.82352941176471
type_exp_gt4.5ft,gas_line,2021,outside,interfering,770.3179312188835,1902.6852901106424,17,10,5,58.82352941176471
type_exp_gt4.5ft,gas_line,2021,outside,commercial,566.4102435432968,1399.0333015519434,17,6,5,35.294117647058826
type_exp_gt4.5ft,gas_line,2021,outside,other,407.8153753511735,1007.3039771173986,17,3,5,17.647058823529413
type_exp_gt4.5ft,gas_line,2021,outside,diversity,339.84614612597824,839.4199809311664,17,5,5,29.411764705882355
type_exp_gt4.5ft,gas_line,2021,inside,interfering,1845.7617962322604,4559.031636693684,77,47,5,61.038961038961034
type_exp_gt4.5ft,gas_line,2021,inside,diversity,1820.751473790089,4497.25614026152,77,50,5,64.93506493506493
type_exp_gt4.5ft,gas_line,2021,inside,commercial,1500.6193465302936,3706.5297859298257,77,52,5,67.53246753246754
type_exp_gt4.5ft,gas_line,2021,inside,sb,895.3695434297421,2211.562772271463,77,29,5,37.66233766233766
type_exp_gt4.5ft,gas_line,2021,inside,other,70.02890283808037,172.97139001005854,77,6,5,7.792207792207792
type_exp_gt4.5ft,gas_line,2022,outside,sb,2628.1435300408975,6491.514519201018,17,16,6,94.11764705882352
type_exp_gt4.5ft,gas_line,2022,outside,interfering,1721.8871403716225,4253.061236717907,17,12,6,70.58823529411765
type_exp_gt4.5ft,gas_line,2022,outside,commercial,747.6615214771508,1846.7239580485625,17,8,6,47.05882352941176
type_exp_gt4.5ft,gas_line,2022,outside,other,702.3487019936883,1734.8012939244102,17,6,6,35.294117647058826
type_exp_gt4.5ft,gas_line,2022,outside,diversity,498.4410143181008,1231.149305365709,17,7,6,41.17647058823529
type_exp_gt4.5ft,gas_line,2022,inside,interfering,2305.9517291682164,5695.7007710454955,77,52,6,67.53246753246754
type_exp_gt4.5ft,gas_line,2022,inside,diversity,1950.8051504893808,4818.488721708771,77,48,6,62.33766233766234
type_exp_gt4.5ft,gas_line,2022,inside,commercial,1865.7700541859974,4608.452033839414,77,57,6,74.02597402597402
type_exp_gt4.5ft,gas_line,2022,inside,sb,1100.4541874555482,2718.1218430152044,77,35,6,45.45454545454545
type_exp_gt4.5ft,gas_line,2022,inside,other,85.03509630338318,210.03668786935648,77,5,6,6.493506493506493
type_exp_gt4.5ft,recknagel,2020,outside,interfering,24.072435350590126,59.45891531595762,32,2,1,6.25
type_exp_gt4.5ft,recknagel,2020,inside,commercial,40.54304901152026,100.14133105845505,38,1,1,2.631578947368421
type_exp_gt4.5ft,recknagel,2020,inside,diversity,20.27152450576013,50.070665529227526,38,1,1,2.631578947368421
type_exp_gt4.5ft,recknagel,2021,outside,interfering,36.10865302588519,89.18837297393642,32,3,2,9.375
type_exp_gt4.5ft,recknagel,2021,inside,interfering,395.29472786232185,976.377977819935,38,16,2,42.10526315789473
type_exp_gt4.5ft,recknagel,2021,inside,commercial,375.0232033565617,926.3073122907074,38,9,2,23.684210526315788
type_exp_gt4.5ft,recknagel,2021,inside,sb,162.1721960460809,400.56532423381987,38,5,2,13.157894736842104
type_exp_gt4.5ft,recknagel,2021,inside,diversity,152.0364337932005,375.52999146920536,38,3,2,7.894736842105263
type_exp_gt4.5ft,recknagel,2021,inside,other,10.135762252880053,25.035332764613734,38,1,2,2.631578947368421
type_exp_gt4.5ft,recknagel,2022,outside,interfering,72.21730605177044,178.376745947873,32,3,3,9.375
type_exp_gt4.5ft,recknagel,2022,inside,sb,1125.0696100696855,2778.9219368721238,38,18,3,47.368421052631575
type_exp_gt4.5ft,recknagel,2022,inside,interfering,790.589455724644,1952.755955639871,38,22,3,57.89473684210527
type_exp_gt4.5ft,recknagel,2022,inside,commercial,689.2318331958434,1702.4026279937332,38,18,3,47.368421052631575
type_exp_gt4.5ft,recknagel,2022,inside,diversity,162.17219604608061,400.5653242338192,38,4,3,10.526315789473683
type_exp_gt4.5ft,recknagel,2022,inside,other,70.95033577016045,175.2473293522963,38,4,3,10.526315789473683
type_exp_gt4.5ft,red_pine,2019,outside,diversity,265.6268728340975,656.0983759002208,29,6,3,20.689655172413794
type_exp_gt4.5ft,red_pine,2019,outside,interfering,39.844030925114694,98.41475638503329,29,3,3,10.344827586206897
type_exp_gt4.5ft,red_pine,2019,outside,commercial,13.281343641704897,32.8049187950111,29,1,3,3.4482758620689653
type_exp_gt4.5ft,red_pine,2019,outside,sb,13.281343641704897,32.8049187950111,29,1,3,3.4482758620689653
type_exp_gt4.5ft,red_pine,2019,inside,diversity,2462.26624443179,6081.797623746522,28,20,3,71.42857142857143
type_exp_gt4.5ft,red_pine,2019,inside,interfering,1485.6131530649907,3669.4644880705273,28,12,3,42.857142857142854
type_exp_gt4.5ft,red_pine,2019,inside,commercial,605.2498031005517,1494.967013658363,28,15,3,53.57142857142857
type_exp_gt4.5ft,red_pine,2019,inside,other,96.28974140236032,237.83566126383,28,2,3,7.142857142857142
type_exp_gt4.5ft,red_pine,2019,inside,sb,13.755677343194359,33.976523037690065,28,1,3,3.571428571428571
type_exp_gt4.5ft,red_pine,2020,outside,diversity,358.5962783260322,885.7328074652996,29,7,4,24.137931034482758
type_exp_gt4.5ft,red_pine,2020,outside,interfering,212.50149826727827,524.8787007201773,29,8,4,27.586206896551722
type_exp_gt4.5ft,red_pine,2020,outside,commercial,146.09478005875377,360.8541067451219,29,2,4,6.896551724137931
type_exp_gt4.5ft,red_pine,2020,outside,sb,79.68806185022947,196.82951277006686,29,3,4,10.344827586206897
type_exp_gt4.5ft,red_pine,2020,inside,diversity,1801.993731958461,4450.924517937399,28,15,4,53.57142857142857
type_exp_gt4.5ft,red_pine,2020,inside,interfering,1719.4596678992941,4247.065379711257,28,13,4,46.42857142857143
type_exp_gt4.5ft,red_pine,2020,inside,commercial,1072.9428327691598,2650.168796939825,28,19,4,67.85714285714286
type_exp_gt4.5ft,red_pine,2020,inside,sb,13.755677343194359,33.976523037690065,28,1,4,3.571428571428571
type_exp_gt4.5ft,red_pine,2021,outside,interfering,517.9724020264904,1279.3918330054314,29,12,5,41.37931034482759
type_exp_gt4.5ft,red_pine,2021,outside,diversity,464.84702745967155,1148.172157825389,29,10,5,34.48275862068966
type_exp_gt4.5ft,red_pine,2021,outside,commercial,411.7216528928513,1016.9524826453429,29,7,5,24.137931034482758
type_exp_gt4.5ft,red_pine,2021,outside,sb,318.7522474009172,787.3180510802656,29,10,5,34.48275862068966
type_exp_gt4.5ft,red_pine,2021,outside,other,13.281343641704897,32.8049187950111,29,1,5,3.4482758620689653
type_exp_gt4.5ft,red_pine,2021,inside,interfering,1939.550505390402,4790.689748314293,28,15,5,53.57142857142857
type_exp_gt4.5ft,red_pine,2021,inside,diversity,1870.7721186744318,4620.807133125847,28,18,5,64.28571428571429
type_exp_gt4.5ft,red_pine,2021,inside,commercial,1526.880185094574,3771.394057183598,28,22,5,78.57142857142857
type_exp_gt4.5ft,red_pine,2021,inside,other,41.26703202958286,101.92956911306966,28,1,5,3.571428571428571
type_exp_gt4.5ft,red_pine,2021,inside,sb,13.755677343194359,33.976523037690065,28,1,5,3.571428571428571
type_exp_gt4.5ft,red_pine,2022,outside,interfering,1593.7612370045874,3936.590255401331,29,16,6,55.172413793103445
type_exp_gt4.5ft,red_pine,2022,outside,sb,942.9753985610471,2329.1492344457865,29,15,6,51.724137931034484
type_exp_gt4.5ft,red_pine,2022,outside,commercial,757.036587577179,1869.8803713156324,29,11,6,37.93103448275862
type_exp_gt4.5ft,red_pine,2022,outside,diversity,717.1925566520646,1771.4656149305997,29,17,6,58.620689655172406
type_exp_gt4.5ft,red_pine,2022,outside,other,79.6880618502293,196.8295127700664,29,1,6,3.4482758620689653
type_exp_gt4.5ft,red_pine,2022,inside,commercial,2929.9592741003958,7236.999407027978,28,24,6,85.71428571428571
type_exp_gt4.5ft,red_pine,2022,inside,diversity,2682.357081922899,6625.42199234956,28,22,6,78.57142857142857
type_exp_gt4.5ft,red_pine,2022,inside,interfering,2599.8230178637323,6421.562854123418,28,16,6,57.14285714285714
type_exp_gt4.5ft,red_pine,2022,inside,sb,151.3124507751378,373.74175341459033,28,7,6,25
type_exp_gt4.5ft,red_pine,2022,inside,other,96.2897414023606,237.8356612638307,28,3,6,10.714285714285714
type_exp_gt4.5ft,sta_rd,2019,outside,interfering,158.59486819212287,391.72932443454357,34,5,2,14.705882352941178
type_exp_gt4.5ft,sta_rd,2019,outside,sb,45.312819483463585,111.92266412415508,34,2,2,5.88235294117647
type_exp_gt4.5ft,sta_rd,2019,outside,diversity,22.65640974173191,55.96133206207782,34,1,2,2.941176470588235
type_exp_gt4.5ft,sta_rd,2019,inside,interfering,2506.6903171630884,6191.5250833928285,61,34,2,55.73770491803278
type_exp_gt4.5ft,sta_rd,2019,inside,commercial,220.99284912017177,545.8523373268243,61,7,2,11.475409836065573
type_exp_gt4.5ft,sta_rd,2019,inside,diversity,189.42244210300416,467.87343199442034,61,6,2,9.836065573770492
type_exp_gt4.5ft,sta_rd,2019,inside,sb,56.826732630901184,140.36202959832593,61,6,2,9.836065573770492
type_exp_gt4.5ft,sta_rd,2020,outside,sb,135.938458450391,335.7679923724658,34,6,3,17.647058823529413
type_exp_gt4.5ft,sta_rd,2020,outside,interfering,101.95384383779356,251.8259942793501,34,2,3,5.88235294117647
type_exp_gt4.5ft,sta_rd,2020,outside,diversity,33.984614612597646,83.9419980931162,34,1,3,2.941176470588235
type_exp_gt4.5ft,sta_rd,2020,inside,interfering,2689.7986778626587,6643.802734320768,61,31,3,50.81967213114754
type_exp_gt4.5ft,sta_rd,2020,inside,sb,441.98569824034325,1091.704674653648,61,13,3,21.311475409836063
type_exp_gt4.5ft,sta_rd,2020,inside,diversity,239.93509333047206,592.639680526266,61,7,3,11.475409836065573
type_exp_gt4.5ft,sta_rd,2020,inside,commercial,151.53795368240358,374.2987455955369,61,6,3,9.836065573770492
type_exp_gt4.5ft,sta_rd,2021,outside,sb,498.44101431810157,1231.149305365711,34,9,4,26.47058823529412
type_exp_gt4.5ft,sta_rd,2021,outside,interfering,203.90768767558663,503.65198855869903,34,7,4,20.588235294117645
type_exp_gt4.5ft,sta_rd,2021,outside,commercial,135.93845845039144,335.7679923724669,34,4,4,11.76470588235294
type_exp_gt4.5ft,sta_rd,2021,outside,diversity,11.328204870865942,27.98066603103888,34,1,4,2.941176470588235
type_exp_gt4.5ft,sta_rd,2021,inside,interfering,3239.12375996137,8000.6356871045855,61,44,4,72.1311475409836
type_exp_gt4.5ft,sta_rd,2021,inside,sb,858.7150708669523,2121.0262250413725,61,23,4,37.704918032786885
type_exp_gt4.5ft,sta_rd,2021,inside,diversity,233.62101192703858,577.0438994597854,61,9,4,14.754098360655737
type_exp_gt4.5ft,sta_rd,2021,inside,commercial,214.67876771673812,530.2565562603432,61,12,4,19.672131147540984
type_exp_gt4.5ft,sta_rd,2022,outside,sb,1325.3999698913155,3273.73792563155,34,15,5,44.11764705882353
type_exp_gt4.5ft,sta_rd,2022,outside,interfering,328.51794125511213,811.4393149001271,34,10,5,29.411764705882355
type_exp_gt4.5ft,sta_rd,2022,outside,commercial,135.93845845039118,335.7679923724662,34,6,5,17.647058823529413
type_exp_gt4.5ft,sta_rd,2022,inside,interfering,3295.9504925922724,8140.997716702914,61,43,5,70.49180327868852
type_exp_gt4.5ft,sta_rd,2022,inside,sb,1603.7766764721014,3961.3283908860903,61,30,5,49.18032786885246
type_exp_gt4.5ft,sta_rd,2022,inside,commercial,385.1589656094423,951.3426450553227,61,20,5,32.78688524590164
type_exp_gt4.5ft,sta_rd,2022,inside,diversity,303.07590736480677,748.5974911910729,61,11,5,18.0327868852459
