harvest,location,point,type,spp,sup_short,sup_med,sup_tall,sup_sapl,exp_short,exp_med,exp_tall,exp_sapl
boot,interior,349,commercial,sb,7089.85093744189,0,0,0,1012.8358482059843,0,0,0
boot,interior,349,commercial,wa,0,0,0,0,1012.8358482059843,0,0,0
boot,interior,350,commercial,rm,1012.8358482059843,0,0,0,0,0,0,0
boot,interior,350,commercial,sb,0,0,0,0,2025.6716964119687,0,0,0
boot,interior,350,commercial,wa,1012.8358482059843,0,0,0,3038.507544617953,0,0,0
boot,interior,351,commercial,sb,0,0,0,0,9115.52263385386,0,0,0
boot,interior,352,commercial,rm,3038.507544617953,0,0,0,0,0,0,0
boot,interior,352,commercial,sb,0,0,0,0,0,385.1589656094425,0,0
boot,interior,353,commercial,sb,5064.179241029922,0,0,0,13166.866026677797,0,0,0
boot,interior,354,commercial,sb,5064.179241029922,0,0,0,0,0,0,0
boot,interior,355,commercial,rm,14179.70187488378,0,0,0,1012.8358482059843,1540.63586243777,0,0
boot,interior,355,commercial,sb,1012.8358482059843,0,0,0,6077.015089235906,0,0,0
boot,interior,355,commercial,wa,2025.6716964119687,0,0,0,0,0,0,0
boot,interior,357,commercial,sb,1012.8358482059843,0,0,0,0,385.1589656094425,0,0
boot,interior,358,commercial,rm,1012.8358482059843,0,0,0,0,0,0,0
boot,interior,359,commercial,wa,2025.6716964119687,0,0,0,0,0,0,0
boot,interior,360,commercial,sb,0,0,0,0,2025.6716964119687,0,0,0
boot,interior,361,commercial,wa,0,0,0,0,2025.6716964119687,0,0,0
boot,interior,362,commercial,wa,21269.55281232567,0,0,0,0,0,0,0
boot,interior,364,commercial,rm,1012.8358482059843,0,0,0,0,0,0,0
boot,interior,364,commercial,wa,1012.8358482059843,0,0,0,2025.6716964119687,0,0,0
boot,interior,365,commercial,ba,2025.6716964119687,0,0,0,0,770.317931218885,0,0
boot,interior,365,commercial,sb,1012.8358482059843,0,0,0,0,0,0,0
boot,interior,365,commercial,wa,9115.52263385386,0,0,0,0,0,0,0
boot,interior,366,commercial,sb,1012.8358482059843,0,0,0,8102.686785647875,1155.4768968283274,0,0
boot,interior,367,commercial,ba,4051.3433928239374,0,0,0,0,4621.90758731331,0,0
boot,interior,367,commercial,sb,1012.8358482059843,0,0,0,0,0,0,0
boot,interior,367,commercial,wa,1012.8358482059843,0,0,0,0,0,0,0
boot,interior,368,commercial,rm,0,0,0,0,0,385.1589656094425,0,0
boot,interior,368,commercial,wa,0,0,0,0,2025.6716964119687,0,0,0
boot,interior,369,commercial,rm,4051.3433928239374,0,0,0,0,0,0,0
boot,interior,369,commercial,sb,10128.358482059844,0,0,0,27346.56790156158,0,0,0
boot,interior,369,commercial,wa,1012.8358482059843,0,0,0,0,0,0,0
boot,perimeter,951,commercial,sb,12154.030178471812,0,0,0,14179.70187488378,770.317931218885,0,0
boot,perimeter,952,commercial,sb,1012.8358482059843,0,0,0,4051.3433928239374,0,0,0
boot,perimeter,952,commercial,wa,1012.8358482059843,0,0,0,0,0,0,0
boot,perimeter,953,commercial,rm,4051.3433928239374,0,0,0,0,1540.63586243777,0,0
boot,perimeter,953,commercial,sb,2025.6716964119687,0,0,0,1012.8358482059843,0,0,0
boot,perimeter,953,commercial,sm,1012.8358482059843,0,0,0,0,0,0,0
boot,perimeter,953,commercial,wa,3038.507544617953,0,0,0,1012.8358482059843,0,0,0
boot,perimeter,954,commercial,wa,1012.8358482059843,0,0,0,1012.8358482059843,0,0,0
boot,perimeter,955,commercial,ba,0,0,0,0,1012.8358482059843,0,0,0
boot,perimeter,956,commercial,sb,0,0,0,0,7089.85093744189,0,0,0
boot,perimeter,958,commercial,sb,10128.358482059844,0,0,0,16205.37357129575,0,0,0
boot,perimeter,958,commercial,wa,1012.8358482059843,0,0,0,0,0,0,0
boot,perimeter,959,commercial,bc,1012.8358482059843,0,0,0,0,0,0,0
boot,perimeter,959,commercial,sb,2025.6716964119687,0,0,0,9115.52263385386,0,0,0
boot,perimeter,959,commercial,wa,1012.8358482059843,0,0,0,1012.8358482059843,0,0,0
boot,perimeter,960,commercial,wa,10128.358482059844,0,0,0,0,0,0,0
boot,perimeter,962,commercial,sb,1012.8358482059843,0,0,0,0,0,0,0
boot,perimeter,963,commercial,sb,1012.8358482059843,0,0,0,4051.3433928239374,0,0,0
boot,perimeter,964,commercial,sb,3038.507544617953,0,0,0,4051.3433928239374,0,0,0
boot,perimeter,965,commercial,sb,2025.6716964119687,0,0,0,17218.209419501734,385.1589656094425,0,0
boot,perimeter,965,commercial,sm,0,0,0,0,2025.6716964119687,0,0,0
boot,perimeter,965,commercial,wa,0,0,0,0,2025.6716964119687,0,0,0
gas_line,control,730,commercial,bc,0,0,0,0,4051.3433928239374,770.317931218885,0,0
gas_line,control,730,commercial,rm,0,0,0,0,3038.507544617953,1540.63586243777,0,0
gas_line,control,730,commercial,ro,0,0,0,0,1012.8358482059843,0,0,0
gas_line,control,730,commercial,wa,1012.8358482059843,0,0,0,6077.015089235907,385.1589656094425,0,0
gas_line,control,731,commercial,bc,1012.8358482059843,0,0,0,0,0,0,0
gas_line,control,731,commercial,ro,1012.8358482059843,0,0,0,0,0,0,0
gas_line,control,731,commercial,sb,0,0,0,0,4051.3433928239374,0,0,0
gas_line,control,731,commercial,wa,1012.8358482059843,0,0,0,1012.8358482059843,0,0,0
gas_line,control,732,commercial,sb,0,0,0,0,1012.8358482059843,1155.4768968283274,0,0
gas_line,control,732,commercial,wa,1012.8358482059843,0,0,0,0,0,0,0
gas_line,control,733,commercial,rm,0,0,0,0,4051.3433928239374,0,0,0
gas_line,control,733,commercial,sb,0,0,0,0,1012.8358482059843,0,0,0
gas_line,control,734,commercial,sb,0,0,0,0,0,0,0,0
gas_line,control,735,commercial,rm,0,0,0,0,4051.3433928239374,385.1589656094425,0,0
gas_line,control,735,commercial,ro,0,0,0,0,2025.6716964119687,0,0,0
gas_line,control,735,commercial,sb,0,0,0,0,3038.507544617953,0,0,0
gas_line,control,735,commercial,wa,0,0,0,0,9115.52263385386,0,0,0
gas_line,control,737,commercial,rm,0,0,0,0,2025.6716964119687,0,0,0
gas_line,control,737,commercial,ro,0,0,0,0,2025.6716964119687,0,0,0
gas_line,control,737,commercial,sb,0,0,0,0,2025.6716964119687,0,0,0
gas_line,control,738,commercial,bc,0,0,0,0,2025.6716964119687,0,0,0
gas_line,control,738,commercial,rm,0,0,0,0,2025.6716964119687,0,0,0
gas_line,control,738,commercial,ro,0,0,0,0,0,0,0,0
gas_line,control,738,commercial,sb,0,0,0,0,2025.6716964119687,0,0,0
gas_line,control,738,commercial,wa,0,0,0,0,3038.507544617953,0,0,0
gas_line,control,740,commercial,ro,0,0,0,0,1012.8358482059843,0,0,0
gas_line,control,740,commercial,sb,0,0,0,0,11141.194330265827,0,0,0
gas_line,control,742,commercial,rm,1012.8358482059843,0,0,0,2025.6716964119687,0,0,0
gas_line,control,742,commercial,sb,2025.6716964119687,0,0,0,23295.22450873764,0,0,0
gas_line,control,743,commercial,sb,2025.6716964119687,0,0,0,24308.060356943624,0,0,0
gas_line,control,744,commercial,rm,1012.8358482059843,0,0,0,0,0,0,0
gas_line,control,744,commercial,sb,7089.85093744189,0,0,0,21269.55281232567,0,0,0
gas_line,control,745,commercial,sb,0,0,0,0,2025.6716964119687,385.1589656094425,0,0
gas_line,interior,836,commercial,wa,0,0,0,0,1012.8358482059843,0,0,0
gas_line,interior,837,commercial,sm,0,0,0,0,1012.8358482059843,3081.27172487554,0,0
gas_line,interior,838,commercial,bc,0,0,0,0,0,385.1589656094425,0,0
gas_line,interior,838,commercial,rm,0,0,0,0,0,1540.63586243777,0,0
gas_line,interior,838,commercial,ro,0,0,0,0,3038.507544617953,0,0,0
gas_line,interior,839,commercial,bc,0,0,0,0,0,385.1589656094425,0,0
gas_line,interior,839,commercial,rm,0,0,0,0,0,1540.63586243777,0,0
gas_line,interior,839,commercial,wa,1012.8358482059843,0,0,0,0,0,0,0
gas_line,interior,840,commercial,sm,0,0,0,0,1012.8358482059843,0,0,0
gas_line,interior,841,commercial,ro,0,0,0,0,0,385.1589656094425,0,0
gas_line,interior,842,commercial,bc,0,0,0,0,0,385.1589656094425,385.1589656094425,0
gas_line,interior,842,commercial,ro,0,0,0,0,0,385.1589656094425,0,0
gas_line,interior,842,commercial,sm,0,0,0,0,0,1540.63586243777,0,0
gas_line,interior,842,commercial,wa,0,0,0,0,0,385.1589656094425,0,0
gas_line,interior,843,commercial,sm,0,0,0,0,0,0,385.1589656094425,0
gas_line,interior,843,commercial,wa,0,0,0,0,0,3851.5896560944248,0,0
gas_line,interior,844,commercial,ba,0,0,0,0,0,385.1589656094425,0,0
gas_line,interior,844,commercial,wa,1012.8358482059843,0,0,0,1012.8358482059843,0,0,0
gas_line,interior,845,commercial,wa,1012.8358482059843,0,0,0,1012.8358482059843,770.317931218885,0,0
gas_line,interior,847,commercial,ba,1012.8358482059843,0,0,0,0,385.1589656094425,0,0
gas_line,interior,847,commercial,bc,0,770.317931218885,0,0,0,770.317931218885,770.317931218885,770.317931218885
gas_line,interior,847,commercial,rm,2025.6716964119687,0,0,0,1012.8358482059843,0,0,0
gas_line,interior,847,commercial,ro,0,0,0,0,0,385.1589656094425,0,0
gas_line,interior,847,commercial,sm,4051.3433928239374,0,0,0,0,0,0,0
gas_line,interior,847,commercial,wa,1012.8358482059843,0,0,0,0,1925.7948280472124,385.1589656094425,0
gas_line,interior,848,commercial,sb,0,0,0,0,0,385.1589656094425,0,0
gas_line,interior,849,commercial,ro,2025.6716964119687,0,0,0,0,0,0,0
gas_line,interior,849,commercial,sb,0,0,0,0,0,770.317931218885,0,0
gas_line,interior,850,commercial,rm,0,0,0,0,1012.8358482059843,0,0,0
gas_line,interior,850,commercial,sb,0,0,0,0,1012.8358482059843,0,0,0
gas_line,interior,850,commercial,wa,0,0,0,0,1012.8358482059843,0,0,0
gas_line,interior,851,commercial,sm,0,0,0,0,0,770.317931218885,0,0
gas_line,interior,851,commercial,wa,3038.507544617953,0,0,0,0,770.317931218885,0,0
gas_line,interior,852,commercial,sm,0,0,0,0,0,770.317931218885,0,0
gas_line,interior,852,commercial,wa,0,0,0,0,0,3851.5896560944248,0,0
gas_line,interior,853,commercial,ba,0,0,0,0,0,770.317931218885,0,0
gas_line,interior,853,commercial,sm,2025.6716964119687,0,0,0,1012.8358482059843,1155.4768968283274,0,0
gas_line,interior,853,commercial,wa,4051.3433928239374,0,0,0,2025.6716964119687,1155.4768968283274,0,0
gas_line,interior,855,commercial,wa,5064.179241029922,0,0,0,2025.6716964119687,0,0,0
gas_line,interior,857,commercial,wa,2025.6716964119687,0,0,0,4051.3433928239374,385.1589656094425,0,0
gas_line,interior,858,commercial,sb,0,0,0,0,6077.015089235906,0,0,0
gas_line,interior,859,commercial,sm,0,0,0,0,0,1925.7948280472124,0,0
gas_line,interior,859,commercial,wa,1012.8358482059843,0,0,0,0,0,0,0
gas_line,interior,860,commercial,sm,0,0,0,0,0,1540.63586243777,0,0
gas_line,interior,860,commercial,wa,1012.8358482059843,0,0,0,1012.8358482059843,1155.4768968283274,0,0
gas_line,interior,861,commercial,wa,3038.507544617953,0,0,0,0,1155.4768968283274,0,0
gas_line,interior,865,commercial,sb,0,0,0,0,0,1540.63586243777,0,0
gas_line,interior,865,commercial,sm,7089.85093744189,0,0,0,0,0,0,0
gas_line,interior,865,commercial,wa,1012.8358482059843,0,0,0,0,0,0,0
gas_line,interior,867,commercial,sb,0,0,0,0,3038.507544617953,385.1589656094425,0,0
gas_line,interior,868,commercial,sm,0,0,0,0,0,1540.63586243777,0,0
gas_line,interior,868,commercial,wa,1012.8358482059843,0,0,0,2025.6716964119687,1155.4768968283274,0,0
gas_line,interior,869,commercial,sb,5064.179241029922,0,0,0,0,385.1589656094425,0,0
gas_line,interior,869,commercial,wa,3038.507544617953,0,0,0,2025.6716964119687,0,0,0
gas_line,interior,870,commercial,sm,0,0,0,0,5064.179241029922,385.1589656094425,0,0
gas_line,interior,871,commercial,sb,0,0,0,0,0,385.1589656094425,0,0
gas_line,interior,872,commercial,bc,0,0,0,0,0,385.1589656094425,0,0
gas_line,interior,872,commercial,wa,1012.8358482059843,0,0,0,0,0,0,0
gas_line,interior,875,commercial,bc,0,0,0,0,1012.8358482059843,0,0,0
gas_line,interior,875,commercial,sb,0,0,0,0,0,385.1589656094425,0,0
gas_line,interior,875,commercial,wa,0,0,0,0,3038.507544617953,0,0,0
gas_line,interior,875,commercial,yp,0,0,0,0,11141.194330265827,0,0,0
gas_line,interior,876,commercial,sb,3038.507544617953,0,0,0,1012.8358482059843,0,0,0
gas_line,interior,876,commercial,wa,1012.8358482059843,0,0,0,0,0,0,0
gas_line,interior,877,commercial,ro,0,0,0,0,1012.8358482059843,0,0,0
gas_line,interior,877,commercial,sb,0,0,0,0,1012.8358482059843,0,0,0
gas_line,interior,878,commercial,rm,1012.8358482059843,0,0,0,0,0,0,0
gas_line,interior,878,commercial,sm,1012.8358482059843,0,0,0,0,0,0,0
gas_line,interior,878,commercial,wa,3038.507544617953,0,0,0,4051.3433928239374,5007.066552922752,0,0
gas_line,interior,879,commercial,ro,0,0,0,0,1012.8358482059843,0,0,0
gas_line,perimeter,801,commercial,bc,0,0,0,0,0,1155.4768968283274,0,0
gas_line,perimeter,801,commercial,sm,0,0,0,0,0,385.1589656094425,0,0
gas_line,perimeter,802,commercial,ba,0,0,0,0,0,1540.63586243777,0,0
gas_line,perimeter,802,commercial,bc,1012.8358482059843,0,0,0,0,385.1589656094425,0,0
gas_line,perimeter,802,commercial,sm,3038.507544617953,385.1589656094425,0,0,0,385.1589656094425,0,0
gas_line,perimeter,802,commercial,wa,22282.388660531655,385.1589656094425,0,0,0,0,0,0
gas_line,perimeter,803,commercial,wa,0,0,0,0,1012.8358482059843,1540.63586243777,0,0
gas_line,perimeter,804,commercial,bc,0,0,0,0,0,385.1589656094425,0,0
gas_line,perimeter,804,commercial,sm,0,0,0,0,0,385.1589656094425,0,0
gas_line,perimeter,804,commercial,wa,1012.8358482059843,0,0,0,2025.6716964119687,1540.63586243777,0,0
gas_line,perimeter,805,commercial,bc,0,0,0,0,1012.8358482059843,0,0,0
gas_line,perimeter,805,commercial,wa,1012.8358482059843,0,0,0,1012.8358482059843,0,0,0
gas_line,perimeter,806,commercial,sb,0,385.1589656094425,0,0,1012.8358482059843,0,0,0
gas_line,perimeter,807,commercial,rm,1012.8358482059843,0,0,0,0,0,0,0
gas_line,perimeter,807,commercial,sm,3038.507544617953,0,0,0,3038.507544617953,385.1589656094425,0,0
gas_line,perimeter,808,commercial,rm,1012.8358482059843,0,0,0,0,0,0,0
gas_line,perimeter,808,commercial,sb,0,0,0,0,0,1540.63586243777,2310.953793656655,385.1589656094425
gas_line,perimeter,808,commercial,sm,1012.8358482059843,0,0,0,0,1540.63586243777,0,0
gas_line,perimeter,808,commercial,wa,0,0,0,0,0,385.1589656094425,0,0
gas_line,perimeter,809,commercial,sb,0,0,0,0,5064.179241029922,385.1589656094425,0,0
gas_line,perimeter,811,commercial,sb,6077.015089235906,0,0,0,4051.3433928239374,20798.584142909895,0,0
gas_line,perimeter,812,commercial,sb,1012.8358482059843,0,0,0,1012.8358482059843,3466.4306904849823,0,0
gas_line,perimeter,812,commercial,yp,1012.8358482059843,0,0,0,4051.3433928239374,770.317931218885,0,0
gas_line,perimeter,813,commercial,ro,0,0,0,0,1012.8358482059843,0,0,0
gas_line,perimeter,815,commercial,sb,0,0,0,0,1012.8358482059843,1925.7948280472124,0,0
gas_line,perimeter,816,commercial,sb,1012.8358482059843,0,0,0,4051.3433928239374,3851.5896560944248,0,0
gas_line,perimeter,817,commercial,bc,0,0,0,0,0,385.1589656094425,0,0
gas_line,perimeter,817,commercial,rm,0,0,0,0,1012.8358482059843,0,0,0
gas_line,perimeter,817,commercial,ro,0,0,0,0,1012.8358482059843,0,0,0
gas_line,perimeter,817,commercial,sb,0,385.1589656094425,0,0,2025.6716964119687,385.1589656094425,0,0
