harvest,season,date,location,point,disturb,slash,fern,herb,low_cov,low_spp,invasive_cov,invasive_spp,mid_cov,mid_spp,upper_cov,upper_spp,vine_cov,vine_spp,baf,oakhick,beech,maple,birch,hdwd,conifer,ba,seedling-numb
gl,2019,2020.04.15,perimeter,804,l,p,l,h,m,rubu,a,,p,541,a,,a,,10,,,,,,,0,
gl,2019,2020.04.15,perimeter,805,m,l,m,l,m,rubu,a,,p,531,a,,a,,10,,,,,,,0,
gl,2019,2020.04.15,perimeter,806,m,p,l,p,m,rubu,a,,l,761,a,,a,,10,,,,,,,0,
gl,2019,2020.04.15,perimeter,807,m,p,l,l,m,rubu,p,,l,761,a,,a,,10,,,,,,,0,
gl,2019,2020.04.15,perimeter,808,p,p,p,l,m,rubu,a,,l,372,p,318,a,,10,,,1,,,,10,
gl,2019,2020.04.15,perimeter,809,p,p,p,m,m,rhus,p,loni,l,761,p,318,a,,10,,,2,,,,20,
gl,2019,2020.04.15,perimeter,810,a,p,a,p,p,rubu,a,,l,531,l,372,a,,10,1,,,,,,10,
gl,2019,2020.04.15,perimeter,811,p,p,a,p,p,rubu,a,,p,740,p,833,a,,10,1,,,,,,10,
gl,2019,2020.04.15,perimeter,812,l,l,p,l,l,rubu,a,,l,740,a,,a,,10,,,,,1,,10,
gl,2019,2020.04.15,perimeter,813,l,p,l,l,m,rubu,a,,p,951,p,541,a,,10,,,,,1,,10,
gl,2019,2020.04.20,perimeter,814,h,p,p,l,h,rubu,a,,p,rubu,a,,a,,10,1,,1,,,,20,
gl,2019,2020.04.20,perimeter,815,h,p,m,l,m,rubu,a,,p,761,a,,p,viti,10,,,,,,,0,
gl,2019,2020.04.20,perimeter,816,h,l,l,m,m,rubu,a,,l,761,a,,a,,10,,,,,,,0,
gl,2019,2020.04.17,perimeter,817,l,l,a,m,m,rubu,a,,p,531,l,833,a,,10,3,,,,,,30,
gl,2019,2020.04.17,perimeter,818,p,l,a,l,h,rubu,a,,p,761,p,762,a,,10,1,,1,,,,20,
gl,2019,2020.04.17,perimeter,819,p,m,a,p,l,rubu,a,,l,761,p,833,a,,10,1,,,,,,10,
gl,2019,2020.04.17,perimeter,820,p,l,a,l,m,rubu,a,,l,740,p,318,a,,10,1,,1,,,,20,
gl,2019,2020.04.17,perimeter,821,l,p,a,m,m,rubu,p,,p,761,p,833,a,,10,2,,,,,,20,
gl,2019,2020.04.17,perimeter,822,m,p,a,h,l,rubu,a,,p,129,l,833,a,,10,1,,1,,,,20,
gl,2019,2020.04.16,perimeter,823,h,p,p,h,m,rubu,a,,p,761,a,,a,,10,,,,,,,0,
gl,2019,2020.04.16,perimeter,824,m,p,a,m,m,rubu,p,,m,761,a,,a,,10,,,,,,,0,
gl,2019,2020.04.16,perimeter,825,m,l,p,m,m,rubu,p,,m,761,a,,a,,10,1,,,,,,10,
gl,2019,2020.04.16,perimeter,826,m,p,a,h,l,rubu,a,,a,,a,,a,,10,,,,,,,0,
gl,2019,2020.04.16,perimeter,827,l,p,,h,l,rubu,a,,l,740,a,,a,,10,,,,,,,0,
gl,2019,2020.04.16,perimeter,828,p,p,,h,l,rubu,a,,m,740,a,,a,,10,,,,,,,0,
gl,2019,2020.04.16,perimeter,829,p,p,,h,m,rubu,a,,p,740,p,833,a,,10,,,,,,,0,
gl,2019,2020.04.16,perimeter,830,p,l,a,l,l,rubu,a,,p,740,l,833,a,,10,3,,,,,,30,
gl,2019,2020.04.16,perimeter,831,l,m,,m,m,rubu,a,,l,740,p,372,a,,10,,,,1,,,10,
gl,2019,2020.04.16,perimeter,832,m,p,,h,l,rubu,a,,p,316,a,,a,,10,,,,,,,0,
gl,2019,2020.04.16,perimeter,833,p,p,,h,m,rubu,a,,p,740,a,,a,,10,,,,,,,0,
gl,2019,2020.04.16,perimeter,834,m,p,,h,p,rubu,p,,p,740,a,,a,,10,,,,,,,0,
gl,2019,2020.04.16,perimeter,835,m,l,,m,m,rubu,a,,l,531,p,762,a,,10,,,1,,1,,20,
gl,2019,2020.04.08,interior,836,l,l,a,h,l,rubu,a,,a,,a,,a,,10,2,,,,,,20,
gl,2019,2020.04.08,interior,837,l,l,a,m,m,rubu,a,,l,rubu,a,,a,,10,,,,,,,0,
gl,2019,2020.04.08,interior,838,l,l,l,h,l,rubu,a,,l,761,a,,a,,10,,,,,,,0,
gl,2019,2020.04.14,interior,839,l,m,a,l,l,rubu,a,,l,rhus,a,,,,10,,,,,,,0,
gl,2019,2020.04.14,interior,840,p,m,a,l,p,rubu,a,,a,,a,,,,10,1,,,,,,10,
gl,2019,2020.04.14,interior,841,a,l,m,m,l,rubu,a,,a,,a,,a,,10,1,,2,,,,30,
gl,2019,2020.04.14,interior,842,l,l,p,l,h,rubu,a,,a,,a,,a,,10,,,,,,,0,
gl,2019,2020.04.14,interior,843,p,m,p,l,h,rubu,a,,p,rubu,a,,a,,10,,,,,,,0,
gl,2019,2020.05.04,interior,844,l,m,p,m,h,rubu,a,,p,samb,a,,a,,10,,,,,,,0,
gl,2019,2020.05.05,interior,845,m,l,m,l,h,rubu,a,,p,866,a,,l,buck,10,,,,,,,0,
gl,2019,2020.05.08,interior,846,m,l,a,m,m,rubu,a,,p,761,p,318,a,,10,,,1,,,,10,
gl,2019,2020.05.08,interior,847,m,m,p,m,m,rubu,a,,m,761,a,,l,buck,10,,,,,,,0,
gl,2019,2020.05.08,interior,848,m,p,a,herb,l,rubu,a,,p,740,a,,a,,10,,,,,,,0,
gl,2019,2020.05.08,interior,849,p,m,a,m,m,rubu,a,,l,761,p,318,m,fabu,10,,,1,,,,10,
gl,2019,2020.05.08,interior,850,a,l,p,herb,m,rubu,a,,p,370,p,833,p,fabu,10,1,,,,,,10,
gl,2019,2020.05.08,interior,851,p,m,p,l,m,rubu,a,,l,370,l,318,p,fabu,10,,,2,,,,20,
gl,2019,2020.05.05,interior,852,p,m,m,m,m,rubu,a,,p,318,a,,l,buck,10,,,,,,,0,
gl,2019,2020.05.05,interior,853,l,l,l,m,m,rubu,a,,l,rubu,a,,l,buck,10,,,,,,,0,
gl,2019,2020.05.05,interior,854,a,p,p,m,m,rubu,a,,p,761,a,,m,buck,10,,,,,,,0,
gl,2019,2020.05.08,interior,855,l,l,m,m,m,rubu,p,loni,p,866,p,318,m,fabu,10,,,1,,,,10,
gl,2019,2020.04.23,interior,856,m,m,l,l,m,rubu,a,,l,951,p,318,a,,10,,,1,,,,10,
gl,2019,2020.04.06,interior,857,l,l,m,l,m,rubu,a,,p,951,a,,m,fabu,10,,,1,,,,10,
gl,2019,2020.04.23,interior,858,m,l,l,h,l,rubu,a,,p,740,p,318,m,fabu,10,,,2,,,,20,
gl,2019,2020.04.23,interior,859,l,m,p,l,h,rubu,a,,p,761,a,,m,buck,10,,,,,,,0,
gl,2019,2020.04.22,interior,860,m,l,p,m,l,rubu,a,,p,999,p,318,a,,10,,,1,,,,10,
gl,2019,2020.04.23,interior,861,p,l,p,l,h,rubu,a,,p,740,p,318,a,,10,,,,,,,0,
gl,2019,2020.04.06,interior,862,m,h,m,l,h,rubu,a,,l,951,a,,a,,10,,,,,,,0,
gl,2019,2020.04.06,interior,863,m,l,l,l,m,rubu,a,,p,999,a,,a,,10,,,,,,,0,
gl,2019,2020.04.06,interior,864,a,m,a,m,l,rubu,a,,m,531,l,531,a,,10,1,2,1,,,,40,
gl,2019,2020.04.06,interior,865,p,p,p,m,h,rubu,a,,p,761,a,,l,buck,10,,,,,,,0,
gl,2019,2020.04.06,interior,866,a,a,a,p,l,rubu,a,,p,531,l,531,a,,10,,2,,,,,20,
gl,2019,2020.04.20,interior,867,m,l,[,l,m,rubu,a,,p,372,a,,a,,10,,,,,,,0,
gl,2019,2020.04.20,interior,868,m,h,l,m,h,rubu,a,,l,356,a,,a,,10,,,,,,,0,
gl,2019,2020.04.22,interior,869,m,m,m,m,h,rubu,a,,l,swm,p,531,p,viti,10,,1,,,,,10,
gl,2019,2020.04.22,interior,870,l,m,m,l,h,rubu,a,,p,740,a,,a,,10,,,,,,,0,
gl,2019,2020.04.22,interior,871,l,l,p,l,m,rubu,a,,l,761,p,318,a,,10,,,1,,,,10,
gl,2019,2020.04.22,interior,872,m,m,l,l,h,rubu,a,,l,761,a,,a,,10,,,1,,,,10,
gl,2019,2020.04.20,interior,873,h,p,p,m,h,rubu,a,,a,,p,318,a,,10,,,1,,,,10,
gl,2019,2020.04.20,interior,874,m,m,p,h,p,rubu,a,,p,901,a,,a,,10,,,1,,,,10,
gl,2019,2020.04.20,interior,875,l,l,m,l,m,rubu,a,,p,761,p,318,a,,10,,,1,,,,10,
gl,2019,2020.04.20,interior,876,m,m,l,l,h,rubu,a,,p,318,a,,a,,10,,,,,,,0,
gl,2019,2020.04.22,interior,877,m,l,l,l,m,rubu,a,,p,531,l,318,a,,10,1,,1,,,,20,
gl,2019,2020.04.22,interior,878,l,m,l,h,m,rubu,a,,p,740,a,,p,fabu,10,1,,,,,,10,
gl,2019,2020.04.22,interior,879,l,l,a,m,m,rubu,a,,p,761,p,833,a,,10,1,,,,,,10,
rp,2019,2020.05.27,interior,334,p,h,p,h,m,rubu,p,loni,p,355,a,,p,viti,10,,,,,,,0,37
rp,2019,2020.06.01,interior,335,l,l,a,h,l,rubu,a,,h,740,a,,p,viti,10,,,,,,,0,19
rp,2019,2020.06.01,interior,336,a,h,a,l,l,rubu,p,loni,h,740,p,833,p,viti,10,1,,,,,,10,54
rp,2019,2020.05.27,interior,337,a,l,a,h,m,rubu,p,elae,p,761,a,,a,,10,,,,,,,0,15
rp,2019,2020.06.01,interior,338,p,m,a,m,m,rubu,a,,p,316,p,832,p,viti,10,1,,,,,,10,
rp,2019,2020.06.01,interior,339,l,h,a,m,m,rubu,a,,p,541,p,762,a,,10,,,,,,,0,22
rp,2019,2020.06.08,interior,340,p,m,p,m,m,rubu,a,,l,761,l,318,p,viti,10,,,1,,,1,20,41
rp,2019,2020.05.27,interior,341,p,m,a,m,m,rubu,p,loni,l,740,a,,p,viti,10,,,,,,,0,7
rp,2019,2020.06.09,interior,342,p,p,a,h,l,rubu,a,,m,746,m,832,a,,10,3,,,,,,30,41
rp,2019,2020.06.09,interior,343,p,l,a,m,l,vacc,a,,p,743,m,833,a,,10,2,,,,,,20,7
rp,2019,2020.06.09,interior,344,a,m,p,h,m,rubu,a,,m,746,p,832,a,,10,1,,,,,,10,18
rp,2019,2020.05.28,interior,345,a,m,a,h,l,rubu,l,loni,p,591,a,,a,,10,,,,,,,0,69
rp,2019,2020.05.28,interior,346,m,m,p,m,l,rubu,a,,l,740,a,,a,,10,,,,,,,0,12
rp,2019,2020.05.28,interior,347,p,m,a,h,m,rubu,a,,l,740,p,129,a,,10,,,,,,1,10,16
rp,2019,2020.05.28,interior,348,l,l,l,m,m,rubu,a,,p,355,a,,a,,10,1,,,,,,10,23
rp,2019,2020.05.26,perimeter,880,l,l,a,m,m,rubu,a,,p,761,a,,a,,10,,,,,,,0,5
rp,2019,2020.05.26,perimeter,881,m,l,a,l,l,rubu,a,,l,761,a,,a,,10,,,,,,,0,5
rp,2019,2020.05.26,perimeter,882,m,l,a,h,l,rubu,a,,m,740,a,,a,,10,,,,,,,0,1
rp,2019,2020.06.01,perimeter,883,p,m,a,m,m,rubu,l,elae,l,740,a,,p,viti,10,,,,,,,0,9
rp,2019,2020.06.01,perimeter,884,a,p,a,m,m,rubu,a,,m,740,p,833,a,,10,,,,,,,0,17
rp,2019,2020.06.01,perimeter,885,a,l,a,l,m,rubu,a,,h,740,p,833,a,,10,,,,,,,0,14
rp,2019,2020.06.08,perimeter,886,a,m,a,l,m,rubu,a,,h,746,l,833,p,viti,10,,,,,,,0,33
rp,2019,2020.06.08,perimeter,887,a,l,a,l,l,rubu,a,,m,701,p,316,a,,10,,,,,,,0,3
rp,2019,2020.06.08,perimeter,888,a,l,a,h,m,rubu,a,,l,316,l,318,p,viti,10,,,1,,,,10,21
rp,2019,2020.06.08,perimeter,889,p,l,a,h,h,rubu,p,berb,l,355,p,833,a,,10,,,,,,,0,18
rp,2019,2020.06.09,perimeter,890,p,l,a,h,m,rubu,p,loni,p,743,a,,a,,10,,,,,,,0,12
rp,2019,2020.06.09,perimeter,891,m,l,a,m,m,rubu,p,elae,l,743,p,833,a,,10,1,,,,,,10,25
rp,2019,2020.06.09,perimeter,892,m,m,a,h,m,rubu,a,,p,761,a,,a,,10,,,,,,,0,12
wedge,2019,2020.06.29,interior,370,l,p,p,m,m,rubu,p,loni,h,743,l,316,p,viti,10,,,3,,,,30,10
wedge,2019,2020.06.29,interior,371,p,m,l,p,m,rubu,a,,l,761,h,316,p,viti,10,,,5,,,,50,75
wedge,2019,2020.06.29,interior,372,m,m,p,m,m,rubu,a,,m,761,l,531,l,viti,10,,2,,,,,20,10
wedge,2019,2020.06.23,interior,373,a,l,p,p,l,rubu,a,,l,761,m,531,a,,10,1,1,1,,,,30,50
wedge,2019,2020.06.23,interior,374,p,m,p,p,h,rubu,a,,h,761,a,,p,viti,10,,,,,,,0,10
wedge,2019,2020.06.25,interior,375,m,m,p,l,h,rubu,a,,m,761,m,318,a,,10,,,4,,,,40,10
wedge,2019,2020.06.23,interior,376,p,l,p,p,m,rubu,a,,h,761,p,316,a,,10,,,3,,,,30,25
wedge,2019,2020.06.23,interior,377,p,l,p,p,m,rubu,a,,h,761,l,318,a,,10,,,5,,,,50,25
wedge,2019,2020.06.25,interior,378,l,m,m,l,m,rubu,a,,p,761,h,318,a,,10,,,10,,,,100,75
wedge,2019,2020.06.25,interior,379,m,l,p,h,m,rubu,a,,p,761,p,318,p,viti,10,,,2,,,,20,10
wedge,2019,2020.06.23,interior,380,p,m,m,l,m,rubu,a,,l,761,h,316,a,,10,,,8,,,,80,75
wedge,2019,2020.06.23,interior,381,p,h,m,p,h,rubu,a,,p,541,h,318,a,,10,,,8,,,,80,50
wedge,2019,2020.06.25,interior,382,l,m,p,p,h,rubu,a,,m,761,p,318,a,,10,,,1,,,,10,75
wedge,2019,2020.06.25,interior,383,l,l,p,l,h,rubu,a,,m,761,l,318,a,,10,,,1,,,,10,100
wedge,2019,2020.06.23,perimeter,966,a,p,p,l,m,rubu,a,,h,761,p,316,p,viti,10,,,1,,,,10,100
wedge,2019,2020.06.23,perimeter,967,p,p,p,l,h,rubu,a,,m,761,p,318,a,,10,,,1,,,,10,75
wedge,2019,2020.06.23,perimeter,968,p,m,l,l,h,rubu,a,,l,761,l,316,a,,10,,,6,,,,60,10
wedge,2019,2020.06.25,perimeter,969,l,l,l,l,h,rubu,a,,m,761,p,318,a,,10,,,1,,,,10,75
wedge,2019,2020.06.25,perimeter,970,m,l,l,h,m,rubu,a,,m,761,m,318,a,,10,,,3,,,,30,50
wedge,2019,2020.06.25,perimeter,971,m,l,l,m,m,rubu,a,,h,samb,l,316,a,,10,,,1,,,,10,10
wedge,2019,2020.06.25,perimeter,972,p,l,p,m,h,rubu,a,,m,761,p,318,p,viti,10,,,,,,,0,10
wedge,2019,2020.06.29,perimeter,973,l,l,p,h,m,rubu,a,,m,743,p,316,m,viti,10,,,1,,,,10,1
wedge,2019,2020.06.29,perimeter,974,l,p,p,h,p,rubu,a,,m,743,m,316,p,viti,10,,,3,,,,30,10
wedge,2019,2020.06.23,perimeter,975,m,l,p,m,l,rubu,a,,m,743, m,316,a,,10,,,5,,,,50,75
