harvest,date,location,point,spp,origin,radius.01,radius.other,sup.seed01,sup.seed02,sup.seed03,sup.sapl,exp.seed01,exp.seed02,exp.seed03,exp.sapl,top4,other
boot,2020.06.19,interior,356,001,u,3.7,6,,,,,,,,,,
boot,2020.06.15,interior,363,001,u,3.7,6,,,,,,,,,,
boot,2020.06.17,perimeter,950,001,u,3.7,6,,,,,,,,,,
boot,2020.06.22,perimeter,961,001,u,3.7,6,,,,,,,,,,
cwb,2020.07.07,control,398,001,u,3.7,6,,,,,,,,,,
cwb,2020.07.09,control,701,001,u,3.7,6,,,,,,,,,,
cwb,2020.07.09,control,703,001,u,3.7,6,,,,,,,,,,
cwb,2020.07.07,control,709,001,u,3.7,6,,,,,,,,,,
cwb,2020.07.06,control,946,001,u,3.7,6,,,,,,,,,,
wedge,2020.06.25,perimeter,971,001,u,3.7,6,,,,,,,,,,
gl,2020.04.16,perimeter,834,90,s,3.7,6,1,,,,3,,,,1,
gl,2020.04.08,interior,836,90,s,3.7,6,,,,,1,,,,1,
gl,2020.04.08,interior,837,90,s,3.7,6,1,,,,1,,,,,
rp,2020.06.08,interior,340,129,s,3.7,6,1,,,,,,,,,
gl,2020.04.15,perimeter,810,261,s,3.7,6,,,,,,,1,,,
gl,2020.04.15,perimeter,808,315,r,3.7,6,1,,,,3,3,,,,
gl,2020.04.20,interior,875,315,r,3.7,6,,,,,2,,,,,
wedge,2020.06.25,interior,378,315,r,3.7,6,1,,,,1,2,,,2,
boot,2020.06.22,interior,352,315,s,3.7,6,1,,,,,,,,,
boot,2020.06.16,perimeter,965,315,s,3.7,6,,,,,,2,,,2,
cgl,2020.07.13,control,739,315,s,3.7,6,,,,,,2,,,1,
cwb,2020.06.29,control,393,315,s,3.7,6,2,,,,2,,,,2,
cwb,2020.07.07,control,395,315,s,3.7,6,1,,,,,,,,,
cwb,2020.07.09,control,710,315,s,3.7,6,,,,,1,,,,,
cwb,2020.07.06,control,948,315,s,3.7,6,1,,,,,,,,,
gl,2020.04.15,perimeter,808,315,s,3.7,6,1,,,,,1,,,,
gl,2020.04.16,perimeter,829,315,s,3.7,6,,,,,1,,,,,
gl,2020.04.14,interior,840,315,s,3.7,6,,,,,6,2,,,3,
gl,2020.04.14,interior,842,315,s,3.7,6,,,,,,1,,,,
gl,2020.05.04,interior,844,315,s,3.7,6,1,,,,,,,,,
gl,2020.04.06,interior,864,315,s,3.7,6,,,,,,1,,,,
gl,2020.04.20,interior,875,315,s,3.7,6,,,,,1,,,,,
gl,2020.04.22,interior,878,315,s,3.7,6,,1,,,,,,,,
rp,2020.05.28,interior,346,315,s,3.7,6,,,,,2,,,,,
rp,2020.06.08,perimeter,886,315,s,3.7,6,1,,,,,,,,,
boot,2020.06.16,perimeter,965,315,t,3.7,6,,,,,1,1,,,1,
cgl,2020.07.14,control,734,315,t,3.7,6,,,,,3,,,,1,
cgl,2020.07.13,control,739,315,t,3.7,6,,,,,,4,,,3,
crp,2020.07.15,control,767,315,t,3.7,6,,,,,,1,,,1,
gl,2020.04.22,interior,878,315,t,3.7,6,,,,,,3,,,,
wedge,2020.06.25,interior,378,315,t,3.7,6,,,,,2,1,,,2,
gl,2020.04.10,perimeter,827,316,r,3.7,6,2,,,,,,,,,
gl,2020.04.16,perimeter,831,316,r,3.7,6,1,,,,3,3,,,2,
boot,2020.06.16,interior,350,316,s,3.7,6,1,,,,,,,,,
boot,2020.06.22,interior,352,316,s,3.7,6,3,,,,,,,,,
boot,2020.06.16,interior,355,316,s,3.7,6,14,,,,1,,,,,
boot,2020.06.19,interior,358,316,s,3.7,6,1,,,,,,,,,
boot,2020.06.22,interior,364,316,s,3.7,6,1,,,,,,,,,
boot,2020.06.15,interior,369,316,s,3.7,6,4,,,,,,,,,
cgl,2020.07.14,control,730,316,s,3.7,6,,,,,3,,,,,
cgl,2020.07.13,control,737,316,s,3.7,6,,,,,2,,,,,
cgl,2020.07.14,control,738,316,s,3.7,6,,,,,2,,,,,
cgl,2020.07.10,control,744,316,s,3.7,6,1,,,,,,,,,
crp,2020.07.16,control,761,316,s,3.7,6,,,,,1,,,,,
crp,2020.07.16,control,762,316,s,3.7,6,,,,,1,,,,,
crp,2020.07.15,control,768,316,s,3.7,6,,,,,1,,,,1,
crp,2020.07.15,control,769,316,s,3.7,6,,,,,2,,,,,
crp,2020.07.15,control,770,316,s,3.7,6,,,,,2,,,,1,
crp,2020.07.15,control,771,316,s,3.7,6,2,,,,2,,,,,
crp,2020.07.15,control,775,316,s,3.7,6,,,,,1,,,,1,
cwb,2020.07.07,control,396,316,s,3.7,6,1,,,,,,,,1,
cwb,2020.07.09,control,399,316,s,3.7,6,1,,,,,,,,,
cwb,2020.07.06,control,948,316,s,3.7,6,2,,,,1,,,,,
gl,2020.04.15,perimeter,807,316,s,3.7,6,1,,,,,,,,,
gl,2020.04.15,perimeter,808,316,s,3.7,6,1,,,,,,,,,
gl,2020.04.15,perimeter,810,316,s,3.7,6,5,,,,,,,,,
gl,2020.04.17,perimeter,817,316,s,3.7,6,,,,,1,,,,,
gl,2020.04.10,perimeter,826,316,s,3.7,6,1,,,,,,,,,
gl,2020.04.10,perimeter,827,316,s,3.7,6,,,,,3,,,,,
gl,2020.04.16,perimeter,830,316,s,3.7,6,,,,,,1,,,,
gl,2020.04.16,perimeter,830,316,s,3.7,6,4,,,,2,6,,,1,
gl,2020.04.16,perimeter,831,316,s,3.7,6,3,,,,3,,,,1,
gl,2020.04.16,perimeter,832,316,s,3.7,6,,,,,2,,,,,
gl,2020.04.16,perimeter,834,316,s,3.7,6,,,,,5,,,,1,
gl,2020.04.16,perimeter,835,316,s,3.7,6,,,,,,1,,,,
gl,2020.05.08,interior,847,316,s,3.7,6,1,,,,1,,,,,
gl,2020.05.08,interior,850,316,s,3.7,6,,,,,1,,,,,
gl,2020.04.06,interior,864,316,s,3.7,6,5,,,,,,,,,
gl,2020.04.06,interior,866,316,s,3.7,6,,,,,2,,,,,
gl,2020.04.22,interior,878,316,s,3.7,6,1,,,,,,,,,
rp,2020.06.01,interior,336,316,s,3.7,6,2,,,,,,,,,
rp,2020.05.27,interior,337,316,s,3.7,6,,,,,8,1,,,3,
rp,2020.06.03,interior,338,316,s,3.7,6,,,,,20,,,,,
rp,2020.06.03,interior,339,316,s,3.7,6,,,,,,1,,,1,
rp,2020.06.08,interior,340,316,s,3.7,6,12,,,,,,,,,
rp,2020.05.27,interior,341,316,s,3.7,6,,,,,1,,,,,
rp,2020.06.09,interior,344,316,s,3.7,6,1,,,,1,,,1,,
rp,2020.05.28,interior,345,316,s,3.7,6,,,,,7,,,,,
rp,2020.05.28,interior,346,316,s,3.7,6,,,,,28,1,,,,
rp,2020.05.28,interior,347,316,s,3.7,6,,,,,1,,,,,
rp,2020.05.28,interior,348,316,s,3.7,6,,,,,11,,,,,
rp,2020.05.26,perimeter,880,316,s,3.7,6,1,,,,,,,,,
rp,2020.06.01,perimeter,883,316,s,3.7,6,,,,,1,,,,,
rp,2020.06.01,perimeter,885,316,s,3.7,6,2,,,,,,,,,
rp,2020.06.08,perimeter,886,316,s,3.7,6,1,,,,,,,,,
rp,2020.06.08,perimeter,887,316,s,3.7,6,2,,,,,,,,,
rp,2020.06.09,perimeter,890,316,s,3.7,6,,,,,2,,,,,
rp,2020.06.09,perimeter,891,316,s,3.7,6,4,,,,6,,,,,
rp,2020.06.09,perimeter,892,316,s,3.7,6,,,,,3,,,,,
wedge,2020.06.25,interior,375,316,s,3.7,6,1,,,,,,,,,
wedge,2020.06.23,perimeter,967,316,s,3.7,6,4,,,,,,,,,
boot,2020.06.16,interior,355,316,t,3.7,6,,,,,,4,,,,
boot,2020.06.12,interior,368,316,t,3.7,6,,,,,,1,,,1,
boot,2020.06.19,perimeter,953,316,t,3.7,6,4,,,,,4,,,3,
cgl,2020.07.14,control,730,316,t,3.7,6,,,,,,4,,,4,
cgl,2020.07.14,control,733,316,t,3.7,6,,,,,4,,,,,
cgl,2020.07.14,control,735,316,t,3.7,6,,,,,4,1,,,1,
cgl,2020.07.10,control,742,316,t,3.7,6,1,,,,2,,,,1,
crp,2020.07.17,control,748,316,t,3.7,6,,,,,1,,,,,
crp,2020.07.16,control,762,316,t,3.7,6,,,,,4,,,,,
crp,2020.07.15,control,767,316,t,3.7,6,,,,,4,,,,,
crp,2020.07.15,control,774,316,t,3.7,6,,,,,3,,,,2,
cwb,2020.07.06,control,389,316,t,3.7,6,4,,,,,,,,4,
gl,2020.04.10,perimeter,826,316,t,3.7,6,1,,,,3,1,,,1,
gl,2020.04.10,perimeter,827,316,t,3.7,6,,,,,1,1,,,,
gl,2020.04.16,perimeter,829,316,t,3.7,6,,,,,,3,,,1,
gl,2020.04.16,perimeter,831,316,t,3.7,6,7,,,,,7,,,,
gl,2020.04.08,interior,838,316,t,3.7,6,,,,,,4,,,1,
gl,2020.04.14,interior,839,316,t,3.7,6,,,,,,4,,,,
gl,2020.05.08,interior,847,316,t,3.7,6,1,,,,,,,,,
rp,2020.06.03,interior,338,316,t,3.7,6,,,,,,4,,,4,
rp,2020.06.09,interior,342,316,t,3.7,6,,,,,6,3,,,2,
rp,2020.06.09,interior,344,316,t,3.7,6,,,,,3,1,,,,
rp,2020.05.28,interior,348,316,t,3.7,6,,,,,3,,,,,
rp,2020.05.26,perimeter,881,316,t,3.7,6,,,,,,4,,,1,
rp,2020.06.01,perimeter,884,316,t,3.7,6,,,,,4,4,,,1,
rp,2020.06.08,perimeter,887,316,t,3.7,6,2,,,,,5,,,1,
rp,2020.06.08,perimeter,888,316,t,3.7,6,,,,,1,4,,,4,
gl,2020.04.15,perimeter,807,318,r,3.7,6,1,,,,,,,,,
boot,2020.06.19,perimeter,953,318,s,3.7,6,1,,,,,,,,,
boot,2020.06.16,perimeter,965,318,s,3.7,6,,,,,2,,,,,
gl,2020.04.14,perimeter,801,318,s,3.7,6,,,,,,1,,,1,
gl,2020.04.14,perimeter,802,318,s,3.7,6,3,1,,,,,,,,
gl,2020.04.15,perimeter,808,318,s,3.7,6,1,,,,,,,,,
gl,2020.04.16,perimeter,835,318,s,3.7,6,,,,,5,1,,,1,
gl,2020.04.14,interior,840,318,s,3.7,6,,,,,1,,,,,
gl,2020.04.14,interior,843,318,s,3.7,6,,,,,,,1,,1,
gl,2020.05.08,interior,847,318,s,3.7,6,4,,,,,,,,,
gl,2020.05.05,interior,853,318,s,3.7,6,1,,,,,1,,,,
gl,2020.04.06,interior,864,318,s,3.7,6,1,,,,,,,,,
gl,2020.04.06,interior,865,318,s,3.7,6,7,,,,,,,,,
gl,2020.04.22,interior,878,318,s,3.7,6,1,,,,,,,,,
rp,2020.06.03,interior,338,318,s,3.7,6,,,,,1,,,,,
rp,2020.05.28,interior,346,318,s,3.7,6,,,,,1,,,,,
rp,2020.06.09,perimeter,891,318,s,3.7,6,1,,,,,,,,,
wedge,2020.06.23,perimeter,967,318,s,3.7,6,1,,,,,,,,,
gl,2020.04.14,perimeter,802,318,t,3.7,6,,,,,,1,,,,
gl,2020.04.15,perimeter,804,318,t,3.7,6,,,,,,1,,,,
gl,2020.04.15,perimeter,807,318,t,3.7,6,2,,,,3,1,,,,
gl,2020.04.15,perimeter,808,318,t,3.7,6,,,,,,4,,,,
gl,2020.04.16,perimeter,831,318,t,3.7,6,,1,,,,,,,,
gl,2020.04.08,interior,837,318,t,3.7,6,,,,,,1,,,,
gl,2020.04.08,interior,837,318,t,3.7,6,,,,,1,3,,,,
gl,2020.04.08,interior,837,318,t,3.7,6,,,,,,4,,,2,
gl,2020.04.14,interior,842,318,t,3.7,6,,,,,,4,,,2,
gl,2020.05.08,interior,851,318,t,3.7,6,,,,,,2,,,2,
gl,2020.05.05,interior,852,318,t,3.7,6,,,,,,2,,,1,
gl,2020.05.05,interior,853,318,t,3.7,6,1,,,,1,2,,,,
gl,2020.04.23,interior,859,318,t,3.7,6,,,,,,5,,,1,
gl,2020.04.22,interior,860,318,t,3.7,6,,,,,,4,,,,
gl,2020.04.20,interior,868,318,t,3.7,6,,,,,,4,,,4,
gl,2020.04.22,interior,870,318,t,3.7,6,,,,,5,1,,,2,
rp,2020.05.28,interior,348,356,t,3.7,6,,,,,8,4,,,4,
crp,2020.07.16,control,758,356,r,3.7,6,,,,,7,,,,,
crp,2020.07.15,control,773,356,r,3.7,6,,,,,4,,,,,
rp,2020.05.27,interior,337,356,r,3.7,6,,,,,2,,,,1,
rp,2020.06.03,interior,338,356,r,3.7,6,,,,,3,3,,,,
rp,2020.06.09,interior,342,356,r,3.7,6,,,,,5,,,,,
rp,2020.06.09,interior,343,356,r,3.7,6,,,,,4,,,,2,
rp,2020.06.09,interior,344,356,r,3.7,6,5,,,,2,,,,,
rp,2020.06.01,perimeter,883,356,r,3.7,6,1,,,,6,1,,,1,
rp,2020.06.09,perimeter,891,356,r,3.7,6,10,,,,9,2,,,,
cgl,2020.07.14,control,730,356,s,3.7,6,,,,,1,,,,,
cgl,2020.07.14,control,733,356,s,3.7,6,1,,,,,,,,,
cgl,2020.07.14,control,734,356,s,3.7,6,,,,,3,,,,,
cgl,2020.07.13,control,737,356,s,3.7,6,,,,,1,,,,,
cgl,2020.07.14,control,738,356,s,3.7,6,,,,,3,,,,1,
cgl,2020.07.10,control,742,356,s,3.7,6,,,,,1,,,,,
crp,2020.07.16,control,756,356,s,3.7,6,1,,,,6,,,,,
crp,2020.07.16,control,757,356,s,3.7,6,,,,,2,,,,,
crp,2020.07.16,control,758,356,s,3.7,6,1,,,,5,,,,2,
crp,2020.07.16,control,759,356,s,3.7,6,,,,,4,,,,,
crp,2020.07.16,control,760,356,s,3.7,6,,,,,6,,,,,
crp,2020.07.15,control,768,356,s,3.7,6,,,,,2,,,,2,
crp,2020.07.15,control,770,356,s,3.7,6,,,,,1,,,,,
crp,2020.07.15,control,771,356,s,3.7,6,1,,,,1,,,,1,
crp,2020.07.15,control,773,356,s,3.7,6,,,,,1,1,,,,
cwb,2020.07.06,control,948,356,s,3.7,6,,,,,1,,,,,
gl,2020.04.22,interior,860,356,s,3.7,6,,,,,,1,,,,
rp,2020.06.01,interior,335,356,s,3.7,6,1,,,,,,,,,
rp,2020.06.01,interior,336,356,s,3.7,6,,,,,9,1,,,,
rp,2020.05.27,interior,337,356,s,3.7,6,,,,,1,,,,,
rp,2020.06.03,interior,338,356,s,3.7,6,,,,,14,,,,,
rp,2020.06.03,interior,339,356,s,3.7,6,,,,,5,,,,,
rp,2020.05.27,interior,341,356,s,3.7,6,,,,,2,,,,,
rp,2020.06.09,interior,343,356,s,3.7,6,2,,,,5,,,,,
rp,2020.05.26,perimeter,881,356,s,3.7,6,10,1,,,2,13,,,,
rp,2020.06.01,perimeter,883,356,s,3.7,6,3,,,,2,1,,,,
rp,2020.06.01,perimeter,885,356,s,3.7,6,,1,,,,,,,,
rp,2020.06.08,perimeter,888,356,s,3.7,6,,,,,1,,,,,
rp,2020.06.09,perimeter,892,356,s,3.7,6,1,,,,1,,,,,
crp,2020.07.17,control,748,356,t,3.7,6,,,,,4,,,,4,
crp,2020.07.17,control,757,356,t,3.7,6,,,,,4,,,,,
crp,2020.07.16,control,757,356,t,3.7,6,,,,,10,,,,,
crp,2020.07.17,control,765,356,t,3.7,6,,,,,2,,,,,
crp,2020.07.15,control,767,356,t,3.7,6,,,,,4,,,,,
crp,2020.07.15,control,775,356,t,3.7,6,,,,,1,,,,,
rp,2020.06.01,interior,335,356,t,3.7,6,,4,,,,,,,,
rp,2020.06.01,interior,336,356,t,3.7,6,4,,,,,,,,,
rp,2020.06.09,interior,344,356,t,3.7,6,1,,,,,1,,,,
rp,2020.05.26,perimeter,880,356,t,3.7,6,,,,,,3,,,,
rp,2020.05.26,perimeter,881,356,t,3.7,6,1,,,,4,10,,,,
rp,2020.06.08,perimeter,887,356,t,3.7,6,,,,,,4,,,,
gl,2020.04.15,perimeter,810,356,s,3.7,6,,,,,,,,1,,
gl,2020.04.17,perimeter,819,356,s,3.7,6,2,1,,,,1,,,,
gl,2020.04.10,perimeter,826,356,s,3.7,6,,,,,1,,,,,
gl,2020.04.17,perimeter,829,356,s,3.7,6,,,,,1,,,,,
gl,2020.04.16,perimeter,830,356,s,3.7,6,3,,,,1,,,,,
gl,2020.04.14,interior,842,356,s,3.7,6,,,,,,2,,,,
gl,2020.04.15,perimeter,810,356,t,3.7,6,,,,,,1,,,,
gl,2020.04.08,interior,838,356,t,3.7,6,,,,,3,1,,,,
gl,2020.04.14,interior,842,356,t,3.7,6,1,,,,,2,,,,
crp,2020.07.16,control,755,356,s,3.7,6,,,,,1,,,,,
gl,2020.04.16,perimeter,835,356,s,3.7,6,,,,,,1,,,,
gl,2020.05.08,interior,848,372,s,3.7,6,,,,,,1,,,1,
boot,2020.06.15,perimeter,958,372,s,3.7,6,,,,,1,,,,,
cwb,2020.07.06,control,388,372,s,3.7,6,2,,,,,,,,2,
cwb,2020.07.06,control,389,372,s,3.7,6,1,,,,8,,,,,
cwb,2020.07.06,control,390,372,s,3.7,6,9,,,,22,,,,4,
cwb,2020.07.07,control,394,372,s,3.7,6,1,,,,,,,,1,
boot,2020.06.17,perimeter,951,372,r,3.7,6,8,,,,3,1,,,,
boot,2020.06.16,interior,350,372,s,3.7,6,,,,,2,,,,,
boot,2020.06.17,interior,351,372,s,3.7,6,,,,,9,,,,,
boot,2020.06.22,interior,352,372,s,3.7,6,,,,,,1,,,,
boot,2020.06.17,interior,353,372,s,3.7,6,5,,,,13,,,,3,
boot,2020.06.22,interior,354,372,s,3.7,6,5,,,,,,,,,
boot,2020.06.16,interior,355,372,s,3.7,6,1,,,,6,,,,,
boot,2020.06.22,interior,357,372,s,3.7,6,1,,,,,1,,,1,
boot,2020.06.22,interior,360,372,s,3.7,6,,,,,2,,,,,
boot,2020.06.22,interior,365,372,s,3.7,6,1,,,,,,,,,
boot,2020.06.12,interior,366,372,s,3.7,6,1,,,,6,3,,,4,
boot,2020.06.12,interior,367,372,s,3.7,6,1,,,,,,,,,
boot,2020.06.15,interior,369,372,s,3.7,6,10,,,,27,,,,4,
boot,2020.06.17,perimeter,951,372,s,3.7,6,4,,,,11,1,,,,
boot,2020.06.19,perimeter,952,372,s,3.7,6,1,,,,4,,,,,
boot,2020.06.19,perimeter,953,372,s,3.7,6,2,,,,1,,,,,
boot,2020.06.12,perimeter,956,372,s,3.7,6,,,,,7,,,,,
boot,2020.06.15,perimeter,958,372,s,3.7,6,10,,,,15,,,,,
boot,2020.06.15,perimeter,959,372,s,3.7,6,2,,,,9,,,,,
boot,2020.06.16,perimeter,962,372,s,3.7,6,1,,,,,,,,,
boot,2020.06.16,perimeter,963,372,s,3.7,6,1,,,,4,,,,,
boot,2020.06.16,perimeter,964,372,s,3.7,6,3,,,,4,,,,3,
boot,2020.06.16,perimeter,965,372,s,3.7,6,2,,,,17,1,,,1,
cgl,2020.07.14,control,731,372,s,3.7,6,,,,,4,,,,1,
cgl,2020.07.14,control,732,372,s,3.7,6,,,,,1,3,,,3,
cgl,2020.07.14,control,733,372,s,3.7,6,,,,,1,,,,,
cgl,2020.07.14,control,734,372,s,3.7,6,,,,,,,,,,
cgl,2020.07.14,control,735,372,s,3.7,6,,,,,3,,,,,
cgl,2020.07.13,control,737,372,s,3.7,6,,,,,2,,,,1,
cgl,2020.07.14,control,738,372,s,3.7,6,,,,,2,,,,1,
cgl,2020.07.13,control,740,372,s,3.7,6,,,,,11,,,,,
cgl,2020.07.10,control,742,372,s,3.7,6,2,,,,23,,,,,
cgl,2020.07.10,control,743,372,s,3.7,6,2,,,,24,,,,,
cgl,2020.07.13,control,744,372,s,3.7,6,7,,,,21,,,,2,
cgl,2020.07.10,control,745,372,s,3.7,6,,,,,2,1,,,1,
crp,2020.07.17,control,746,372,s,3.7,6,,,,,1,,,,,
crp,2020.07.17,control,747,372,s,3.7,6,,,,,2,,,,2,
crp,2020.07.17,control,748,372,s,3.7,6,,,,,2,,,,,
crp,2020.07.17,control,750,372,s,3.7,6,,,,,1,,,,1,
crp,2020.07.16,control,752,372,s,3.7,6,,,,,2,,,,,
crp,2020.07.16,control,753,372,s,3.7,6,,,,,2,,,,,
crp,2020.07.16,control,754,372,s,3.7,6,,,,,7,,,,,
crp,2020.07.16,control,755,372,s,3.7,6,,,,,1,,,,,
crp,2020.07.16,control,756,372,s,3.7,6,,,,,1,,,,,
crp,2020.07.16,control,758,372,s,3.7,6,1,,,,9,,,,,
crp,2020.07.16,control,761,372,s,3.7,6,,,,,2,,,,,
crp,2020.07.16,control,762,372,s,3.7,6,1,,,,2,,,,,
crp,2020.07.16,control,763,372,s,3.7,6,,,,,6,,,,4,
crp,2020.07.17,control,764,372,s,3.7,6,,,,,4,,,,,
crp,2020.07.16,control,766,372,s,3.7,6,,,,,3,,,,,
crp,2020.07.15,control,768,372,s,3.7,6,,,,,1,,,,,
crp,2020.07.15,control,769,372,s,3.7,6,,,,,1,,,,1,
crp,2020.07.15,control,770,372,s,3.7,6,,,,,4,,,,2,
crp,2020.07.15,control,771,372,s,3.7,6,1,,,,,,,,,
cwb,2020.07.06,control,385,372,s,3.7,6,,,,,,3,,,3,
cwb,2020.06.29,control,386,372,s,3.7,6,2,,,,18,,,,4,
cwb,2020.06.29,control,387,372,s,3.7,6,8,,,,23,,,,4,
cwb,2020.07.06,control,388,372,s,3.7,6,2,,,,,,,,2,
cwb,2020.07.06,control,390,372,s,3.7,6,,,,,,,,,,
cwb,2020.06.29,control,391,372,s,3.7,6,3,,,,5,,,,4,
cwb,2020.06.29,control,392,372,s,3.7,6,1,,,,1,,,,,
cwb,2020.06.29,control,393,372,s,3.7,6,35,,,,30,,,,1,
cwb,2020.07.07,control,395,372,s,3.7,6,,,,,,,,,,
cwb,2020.07.07,control,397,372,s,3.7,6,1,,,,,,,,,
cwb,2020.07.09,control,702,372,s,3.7,6,1,,,,8,,,,3,
cwb,2020.07.07,control,705,372,s,3.7,6,1,,,,,,,,,
cwb,2020.07.07,control,706,372,s,3.7,6,2,,,,1,,,,3,
cwb,2020.07.07,control,708,372,s,3.7,6,1,,,,16,,,,4,
cwb,2020.07.09,control,711,372,s,3.7,6,3,,,,6,,,,4,
cwb,2020.07.06,control,948,372,s,3.7,6,,,,,,1,,,1,
gl,2020.04.15,perimeter,806,372,s,3.7,6,,1,,,1,,,,,
gl,2020.04.15,perimeter,808,372,s,3.7,6,,,,,,4,6,1,4,
gl,2020.04.15,perimeter,809,372,s,3.7,6,,,,,5,1,,,,
gl,2020.04.15,perimeter,810,372,s,3.7,6,22,,,,,18,,,1,
gl,2020.04.15,perimeter,811,372,s,3.7,6,6,,,,4,54,,,4,
gl,2020.04.15,perimeter,812,372,s,3.7,6,1,,,,1,9,,,1,
gl,2020.04.20,perimeter,815,372,s,3.7,6,,,,,1,5,,,,
gl,2020.04.20,perimeter,816,372,s,3.7,6,1,,,,4,10,,,2,
