harvest,location,point,silvah01a_per_acre,silvah25a,silvah02a_per_acre,silvah5a,silvah03a_per_acre,silvah2a,silvah01_per_acre,silvah25,silvah02_per_acre,silvah5,silvah03_per_acre,silvah2,silvah01div_per_acre,div_stock,interfere_per_acre,woody_stock,fern_stock,all_intf,year,disturb,slash,fern,herb,low_cov,inv_cov,mid_cov,upper_cov,vine_cov,ba,seedling_numb
sta_rd,control,386,20256.71696411969,stocked25a,0,not,0,not,18231.04526770772,stocked25,0,not,0,not,36462.09053541544,stocked_div,0,not,not,not,2019,p,l,l,m,h,a,a,p,a,10,1
sta_rd,control,387,31397.911294385514,stocked25a,0,not,0,not,23295.22450873764,stocked25,0,not,0,not,46590.44901747528,stocked_div,3038.507544617953,inft_stkd,not,all_intf,2019,p,m,p,p,m,a,p,l,a,30,1
sta_rd,control,389,13166.866026677797,stocked25a,0,not,0,not,0,not,0,not,0,not,16205.37357129575,stocked_div,3038.507544617953,inft_stkd,not,all_intf,2019,p,m,a,m,h,a,p,a,a,0,10
sta_rd,control,390,31397.911294385514,stocked25a,0,not,0,not,22282.388660531655,stocked25,0,not,0,not,44564.77732106331,stocked_div,0,not,not,not,2019,l,p,p,l,h,a,p,a,a,10,10
sta_rd,control,393,65834.33013338898,stocked25a,0,not,0,not,30385.07544617953,stocked25,0,not,0,not,60770.15089235906,stocked_div,4436.502358433379,inft_stkd,not,all_intf,2019,a,p,p,l,h,a,l,l,a,20,10
sta_rd,control,708,19243.881115913704,stocked25a,0,not,0,not,17218.209419501734,stocked25,0,not,0,not,34436.41883900347,stocked_div,0,not,not,not,2019,m,l,l,m,m,a,a,m,a,30,75
sta_rd,control,948,27731.726867171023,stocked25a,385.1589656094425,not,385.1589656094425,not,21654.711777935117,stocked25,385.1589656094425,not,385.1589656094425,not,44322.25940407621,stocked_div,0,not,not,not,2019,a,a,l,m,m,p,m,m,a,50,75
sta_rd,interior,353,18231.04526770772,stocked25a,0,not,0,not,13166.866026677797,stocked25,0,not,0,not,27346.56790156158,stocked_div,0,not,intf_stkd,all_intf,2019,p,m,m,m,m,p,p,m,p,60,25
sta_rd,interior,355,25848.696219381392,stocked25a,1540.63586243777,not,1540.63586243777,stocked2a,0,not,1540.63586243777,not,1540.63586243777,stocked2,17260.97359975932,stocked_div,3081.27172487554,inft_stkd,not,all_intf,2019,p,p,a,p,h,a,m,a,a,0,100
sta_rd,interior,362,21269.55281232567,stocked25a,0,not,0,not,0,not,0,not,0,not,0,not,0,not,not,not,2019,p,l,a,p,h,a,l,l,l,20,50
sta_rd,interior,365,12924.348109690698,stocked25a,770.317931218885,not,770.317931218885,stocked2a,0,not,770.317931218885,not,770.317931218885,stocked2,1540.63586243777,stocked_div,0,not,not,not,2019,p,l,p,p,h,a,m,m,a,40,75
sta_rd,interior,366,10270.999530682187,stocked25a,1155.4768968283274,not,1155.4768968283274,stocked2a,0,not,1155.4768968283274,not,1155.4768968283274,stocked2,18516.327364952405,stocked_div,0,not,not,not,2019,a,m,a,p,h,a,p,m,a,50,1
sta_rd,interior,367,10698.922676549217,stocked25a,4621.90758731331,stocked5a,4621.90758731331,stocked2a,0,not,4621.90758731331,stocked5,4621.90758731331,stocked2,9243.81517462662,stocked_div,0,not,not,not,2019,a,m,a,l,h,p,m,m,a,50,10
sta_rd,interior,369,42539.10562465135,stocked25a,0,not,0,not,27346.56790156158,stocked25,0,not,0,not,54693.13580312316,stocked_div,5064.179241029922,inft_stkd,not,all_intf,2019,a,m,a,a,m,a,p,l,a,30,100
sta_rd,interior,370,18231.04526770772,stocked25a,0,not,0,not,12154.030178471812,stocked25,0,not,0,not,28544.808978647492,stocked_div,8873.004716866759,inft_stkd,not,all_intf,2019,l,p,p,m,m,p,h,l,p,30,10
sta_rd,interior,371,22282.388660531655,stocked25a,0,not,0,not,16205.37357129575,stocked25,0,not,0,not,32410.7471425915,stocked_div,3181.148593240296,inft_stkd,not,all_intf,2019,p,m,l,p,m,a,l,h,p,50,75
sta_rd,interior,373,98245.07727598048,stocked25a,0,not,0,not,98245.07727598048,stocked25,0,not,0,not,196490.15455196096,stocked_div,24308.060356943624,inft_stkd,not,all_intf,2019,a,l,p,p,l,a,l,m,a,30,50
sta_rd,perimeter,951,27104.049984574478,stocked25a,770.317931218885,not,770.317931218885,stocked2a,14950.019806102666,stocked25,770.317931218885,not,770.317931218885,stocked2,29900.03961220533,stocked_div,2553.4717106437542,inft_stkd,not,all_intf,2019,m,l,p,p,h,a,m,p,p,10,25
sta_rd,perimeter,953,13694.666040909582,stocked25a,1540.63586243777,not,1540.63586243777,stocked2a,0,not,1540.63586243777,not,1540.63586243777,stocked2,7132.615117699477,stocked_div,0,not,not,not,2019,a,l,p,p,m,a,p,m,p,50,25
sta_rd,perimeter,958,27346.56790156158,stocked25a,0,not,0,not,16205.37357129575,stocked25,0,not,0,not,32410.7471425915,stocked_div,2696.1127592660973,inft_stkd,not,all_intf,2019,a,l,p,m,h,a,p,m,a,40,50
sta_rd,perimeter,959,14179.701874883782,stocked25a,0,not,0,not,10128.358482059844,stocked25,0,not,0,not,20641.87592972913,stocked_div,16191.025063446166,inft_stkd,not,all_intf,2019,a,p,p,p,h,a,l,m,a,40,75
sta_rd,perimeter,960,10128.358482059844,stocked25a,0,not,0,not,0,not,0,not,0,not,0,not,3708.9486074720817,inft_stkd,not,all_intf,2019,a,l,p,m,h,a,m,p,p,10,25
sta_rd,perimeter,965,23680.383474347083,stocked25a,385.1589656094425,not,385.1589656094425,not,21654.711777935114,stocked25,385.1589656094425,not,385.1589656094425,not,43309.42355587023,stocked_div,0,not,not,not,2019,p,p,l,m,m,p,p,m,a,30,100
sta_rd,perimeter,967,14179.701874883782,stocked25a,0,not,0,not,0,not,0,not,0,not,10128.358482059844,stocked_div,9971.368925587918,inft_stkd,not,all_intf,2019,p,p,p,l,h,a,m,p,a,10,75
sta_rd,perimeter,972,13552.024992287239,stocked25a,385.1589656094425,not,385.1589656094425,not,0,not,385.1589656094425,not,385.1589656094425,not,4821.661324042822,stocked_div,6162.54344975108,inft_stkd,not,all_intf,2019,p,l,p,m,h,a,m,p,p,0,10
sta_rd,perimeter,975,13166.866026677797,stocked25a,0,not,0,not,13166.866026677797,stocked25,0,not,0,not,31683.1933916302,stocked_div,21269.552812325674,inft_stkd,not,all_intf,2019,m,l,p,m,l,a,m,m,a,50,75
gas_line,control,730,17888.650482355864,stocked25a,2696.1127592660973,stocked5a,2696.1127592660973,stocked2a,16875.81463414988,stocked25,2696.1127592660973,stocked5,2696.1127592660973,stocked2,34764.465116505744,stocked_div,0,not,intf_stkd,all_intf,2019,l,m,m,m,l,a,l,m,a,20,1
gas_line,control,735,18616.204233317163,stocked25a,385.1589656094425,not,385.1589656094425,not,18616.204233317163,stocked25,385.1589656094425,not,385.1589656094425,not,41569.033956702944,stocked_div,0,not,not,not,2019,p,l,p,m,l,a,l,m,p,30,1
gas_line,control,740,12154.030178471812,stocked25a,0,not,0,not,12154.030178471812,stocked25,0,not,0,not,28359.40374976756,stocked_div,8102.686785647875,inft_stkd,not,all_intf,2019,p,m,p,l,m,a,p,m,a,30,1
gas_line,control,742,28359.40374976756,stocked25a,0,not,0,not,25320.89620514961,stocked25,0,not,0,not,55705.971651329135,stocked_div,0,not,not,not,2019,a,l,p,l,l,a,p,h,a,50,10
gas_line,control,743,26333.732053355594,stocked25a,0,not,0,not,24308.060356943624,stocked25,0,not,0,not,49628.95656209323,stocked_div,0,not,not,not,2019,l,m,p,m,m,a,p,l,a,40,1
gas_line,control,744,29372.239597973545,stocked25a,0,not,0,not,21269.55281232567,stocked25,0,not,0,not,53680.299954917165,stocked_div,4051.3433928239374,inft_stkd,not,all_intf,2019,l,m,p,m,m,a,p,p,p,30,1
gas_line,interior,847,14507.748152386053,stocked25a,5392.225518532195,stocked5a,5392.225518532195,stocked2a,0,not,5392.225518532195,stocked5,4621.90758731331,stocked2,11269.486871038589,stocked_div,0,not,not,not,2019,m,m,p,m,m,a,m,a,l,0,NA
gas_line,interior,853,12196.7943587294,stocked25a,3081.27172487554,stocked5a,3081.27172487554,stocked2a,0,not,3081.27172487554,stocked5,3081.27172487554,stocked2,12624.717504596429,stocked_div,0,not,not,not,2019,l,l,l,m,m,a,l,a,l,0,NA
gas_line,interior,865,9643.322648085645,stocked25a,1540.63586243777,not,1540.63586243777,stocked2a,0,not,1540.63586243777,not,1540.63586243777,stocked2,3466.4306904849823,stocked_div,0,not,not,not,2019,p,p,p,m,h,a,p,a,l,0,NA
gas_line,interior,869,10513.517447669286,stocked25a,385.1589656094425,not,385.1589656094425,not,0,not,385.1589656094425,not,385.1589656094425,not,4821.661324042822,stocked_div,0,not,intf_stkd,all_intf,2019,m,m,m,m,h,a,l,p,p,10,NA
gas_line,interior,875,15577.696688699207,stocked25a,385.1589656094425,not,385.1589656094425,not,15577.696688699207,stocked25,385.1589656094425,not,385.1589656094425,not,31155.393377398414,stocked_div,4579.1434070557225,inft_stkd,intf_stkd,all_intf,2019,l,l,m,l,m,a,p,p,a,10,NA
gas_line,interior,878,14122.589186776611,stocked25a,5007.066552922752,stocked5a,5007.066552922752,stocked2a,0,not,5007.066552922752,stocked5,5007.066552922752,stocked2,21583.250581978362,stocked_div,3851.5896560944248,inft_stkd,not,all_intf,2019,l,m,l,h,m,a,p,a,p,10,NA
gas_line,perimeter,802,29415.003778231134,stocked25a,3081.27172487554,stocked5a,3081.27172487554,stocked2a,0,not,3081.27172487554,stocked5,2310.953793656655,stocked2,6547.702415360522,stocked_div,0,not,not,not,2019,a,m,p,m,m,a,l,a,a,0,NA
gas_line,perimeter,811,30926.94262496974,stocked25a,20798.584142909895,stocked5a,20798.584142909895,stocked2a,24849.927535733834,stocked25,20798.584142909895,stocked5,20798.584142909895,stocked2,50085.014037077104,stocked_div,47360.76694869417,inft_stkd,not,all_intf,2019,p,p,a,p,p,a,p,p,a,10,NA
gas_line,perimeter,812,11326.599559145758,stocked25a,4236.748621703868,stocked5a,4236.748621703868,stocked2a,0,not,4236.748621703868,stocked5,4236.748621703868,stocked2,18987.01469107702,stocked_div,15335.17877171211,inft_stkd,not,all_intf,2019,l,l,p,l,l,a,l,a,a,10,NA
gas_line,perimeter,831,21454.958041205602,stocked25a,4236.748621703868,stocked5a,4236.748621703868,stocked2a,9928.60474533033,stocked25,4236.748621703868,stocked5,3851.5896560944248,stocked2,21783.004318707874,stocked_div,0,not,not,not,2019,l,m,NA,m,m,a,l,p,a,10,NA
gas_line,perimeter,835,10171.12266231743,stocked25a,3081.27172487554,stocked5a,3081.27172487554,stocked2a,10171.12266231743,stocked25,3081.27172487554,stocked5,3081.27172487554,stocked2,20727.404290244303,stocked_div,0,not,not,not,2019,m,l,NA,m,m,a,l,p,a,20,NA
red_pine,control,758,10128.358482059844,stocked25a,0,not,0,not,0,not,0,not,0,not,32410.7471425915,stocked_div,13166.866026677795,inft_stkd,not,all_intf,2019,l,l,p,p,m,p,p,p,a,30,1
red_pine,interior,338,26861.53206758738,stocked25a,1540.63586243777,not,1540.63586243777,stocked2a,26861.53206758738,stocked25,1540.63586243777,not,1540.63586243777,stocked2,72096.75045150482,stocked_div,0,not,not,not,2019,p,m,a,m,m,a,p,p,p,10,NA
red_pine,interior,340,29800.162743840574,stocked25a,3466.4306904849823,stocked5a,3466.4306904849823,stocked2a,13594.789172544826,stocked25,3466.4306904849823,stocked5,3466.4306904849823,stocked2,27189.578345089652,stocked_div,4236.748621703868,inft_stkd,not,all_intf,2019,p,m,p,m,m,a,l,l,p,20,41
red_pine,interior,345,14179.70187488378,stocked25a,0,not,0,not,14179.70187488378,stocked25,0,not,0,not,28359.40374976756,stocked_div,0,not,not,not,2019,a,m,a,h,l,l,p,a,a,0,69
red_pine,interior,346,38872.921197436845,stocked25a,385.1589656094425,not,385.1589656094425,not,37860.08534923086,stocked25,385.1589656094425,not,385.1589656094425,not,76105.32966407116,stocked_div,3951.466524459181,inft_stkd,not,all_intf,2019,m,m,p,m,l,a,l,a,a,0,12
red_pine,interior,348,21269.55281232567,stocked25a,0,not,0,not,20256.716964119685,stocked25,0,not,0,not,50156.75657632502,stocked_div,6989.974069077134,inft_stkd,not,all_intf,2019,l,l,l,m,m,a,p,a,a,10,23
red_pine,perimeter,887,10028.481613695087,stocked25a,1925.7948280472124,stocked5a,1925.7948280472124,stocked2a,0,not,1925.7948280472124,stocked5,1925.7948280472124,stocked2,6547.702415360522,stocked_div,12624.717504596427,inft_stkd,not,all_intf,2019,a,l,a,l,l,a,m,p,a,0,3
red_pine,perimeter,891,13937.183957896681,stocked25a,770.317931218885,not,770.317931218885,stocked2a,0,not,770.317931218885,not,770.317931218885,stocked2,29800.162743840578,stocked_div,14950.019806102668,inft_stkd,not,all_intf,2019,m,l,a,m,m,p,l,p,a,10,25
sta_rd,interior,349,0,not,0,not,0,not,0,not,0,not,0,not,0,not,0,not,not,not,2019,l,p,a,m,h,p,p,l,a,20,100
sta_rd,interior,350,0,not,0,not,0,not,0,not,0,not,0,not,0,not,0,not,not,not,2019,m,p,m,l,h,a,p,p,a,10,50
sta_rd,interior,351,0,not,0,not,0,not,0,not,0,not,0,not,0,not,0,not,not,not,2019,a,m,a,p,m,a,m,m,a,30,100
sta_rd,interior,352,0,not,0,not,0,not,0,not,0,not,0,not,0,not,0,not,not,not,2019,m,m,l,p,h,a,p,l,a,30,100
sta_rd,interior,354,0,not,0,not,0,not,0,not,0,not,0,not,0,not,0,not,not,not,2019,p,h,l,p,h,a,p,p,p,30,10
sta_rd,interior,356,0,not,0,not,0,not,0,not,0,not,0,not,0,not,0,not,not,not,2019,l,h,p,p,h,a,p,m,a,40,10
sta_rd,interior,357,0,not,0,not,0,not,0,not,0,not,0,not,0,not,0,not,not,not,2019,a,h,h,p,m,a,l,a,p,30,0
sta_rd,interior,358,0,not,0,not,0,not,0,not,0,not,0,not,0,not,0,not,not,not,2019,l,m,p,p,h,a,p,p,p,20,10
sta_rd,interior,359,0,not,0,not,0,not,0,not,0,not,0,not,0,not,0,not,not,not,2019,p,m,p,p,h,a,m,l,a,40,50
sta_rd,interior,360,0,not,0,not,0,not,0,not,0,not,0,not,0,not,0,not,not,not,2019,p,m,p,l,m,a,m,m,a,60,50
sta_rd,interior,361,0,not,0,not,0,not,0,not,0,not,0,not,0,not,0,not,not,not,2019,p,p,m,h,l,p,p,m,a,50,10
sta_rd,interior,363,0,not,0,not,0,not,0,not,0,not,0,not,0,not,0,not,not,not,2019,a,m,l,m,h,a,h,l,p,20,10
sta_rd,interior,364,0,not,0,not,0,not,0,not,0,not,0,not,0,not,0,not,not,not,2019,p,m,p,l,h,l,m,m,a,40,50
sta_rd,interior,368,0,not,0,not,0,not,0,not,0,not,0,not,0,not,0,not,not,not,2019,a,m,a,l,h,a,p,m,p,60,75
sta_rd,perimeter,950,0,not,0,not,0,not,0,not,0,not,0,not,0,not,0,not,not,not,2019,a,m,a,p,m,a,p,m,a,20,100
sta_rd,perimeter,952,0,not,0,not,0,not,0,not,0,not,0,not,0,not,0,not,not,not,2019,p,m,l,p,h,a,p,p,a,20,25
sta_rd,perimeter,954,0,not,0,not,0,not,0,not,0,not,0,not,0,not,0,not,not,not,2019,p,l,p,m,h,a,m,m,p,30,50
sta_rd,perimeter,955,0,not,0,not,0,not,0,not,0,not,0,not,0,not,0,not,not,not,2019,l,p,m,m,h,a,p,p,a,20,10
sta_rd,perimeter,956,0,not,0,not,0,not,0,not,0,not,0,not,0,not,0,not,not,not,2019,p,l,m,l,h,p,a,l,a,20,10
sta_rd,perimeter,957,0,not,0,not,0,not,0,not,0,not,0,not,0,not,0,not,not,not,2019,a,m,a,l,h,a,l,l,p,60,1
sta_rd,perimeter,961,0,not,0,not,0,not,0,not,0,not,0,not,0,not,0,not,not,not,2019,a,m,p,l,h,p,l,l,a,20,25
sta_rd,perimeter,962,0,not,0,not,0,not,0,not,0,not,0,not,0,not,0,not,not,not,2019,m,l,p,m,h,a,l,a,a,0,10
sta_rd,perimeter,963,0,not,0,not,0,not,0,not,0,not,0,not,0,not,0,not,not,not,2019,p,m,p,h,h,a,l,p,a,10,50
sta_rd,perimeter,964,0,not,0,not,0,not,0,not,0,not,0,not,0,not,0,not,not,not,2019,m,p,l,m,h,a,p,a,a,0,100
gas_line,control,729,0,not,0,not,0,not,0,not,0,not,0,not,0,not,0,not,not,not,2019,l,l,p,m,m,a,l,l,a,30,1
gas_line,control,731,0,not,0,not,0,not,0,not,0,not,0,not,0,not,0,not,not,not,2019,p,m,a,m,h,a,p,l,p,20,1
gas_line,control,732,0,not,0,not,0,not,0,not,0,not,0,not,0,not,0,not,not,not,2019,l,h,p,p,m,a,l,p,a,10,0
gas_line,control,733,0,not,0,not,0,not,0,not,0,not,0,not,0,not,0,not,not,not,2019,a,h,l,l,m,a,l,l,a,20,1
gas_line,control,734,0,not,0,not,0,not,0,not,0,not,0,not,0,not,0,not,not,not,2019,a,l,l,m,m,a,p,m,a,40,1
gas_line,control,736,0,not,0,not,0,not,0,not,0,not,0,not,0,not,0,not,not,not,2019,l,l,p,h,m,a,l,l,a,20,0
gas_line,control,737,0,not,0,not,0,not,0,not,0,not,0,not,0,not,0,not,not,not,2019,a,m,p,h,m,a,m,m,a,20,1
gas_line,control,738,0,not,0,not,0,not,0,not,0,not,0,not,0,not,0,not,not,not,2019,l,m,p,m,l,a,l,m,a,50,10
gas_line,control,739,0,not,0,not,0,not,0,not,0,not,0,not,0,not,0,not,not,not,2019,l,m,l,l,m,a,m,l,NA,50,1
gas_line,control,741,0,not,0,not,0,not,0,not,0,not,0,not,0,not,0,not,not,not,2019,a,l,p,m,m,a,p,h,a,40,1
gas_line,control,745,0,not,0,not,0,not,0,not,0,not,0,not,0,not,0,not,not,not,2019,a,m,p,p,m,a,l,p,a,20,1
gas_line,interior,836,0,not,0,not,0,not,0,not,0,not,0,not,0,not,0,not,not,not,2019,l,l,a,h,l,a,a,a,a,20,NA
gas_line,interior,837,0,not,0,not,0,not,0,not,0,not,0,not,0,not,0,not,not,not,2019,l,l,a,m,m,a,l,a,a,0,NA
gas_line,interior,838,0,not,0,not,0,not,0,not,0,not,0,not,0,not,0,not,not,not,2019,l,l,l,h,l,a,l,a,a,0,NA
gas_line,interior,839,0,not,0,not,0,not,0,not,0,not,0,not,0,not,0,not,not,not,2019,l,m,a,l,l,a,l,a,NA,10,NA
gas_line,interior,840,0,not,0,not,0,not,0,not,0,not,0,not,0,not,0,not,not,not,2019,p,m,a,l,p,a,a,a,NA,10,NA
gas_line,interior,841,0,not,0,not,0,not,0,not,0,not,0,not,0,not,0,not,not,not,2019,a,l,m,m,l,a,a,a,a,30,NA
